
  Composition: O16Ti8 (24 atoms)
  Initial cell: a=6.9213  b=6.9213  c=6.9213
  Volume: 331.56 A^3
  Optimizer: LBFGS  fmax=0.1  max_steps=100

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
  -------------------------------------------------------------------------------------
      1     -221.268997     1.131333    6.921424    6.920972    6.921141    331.5433
      2     -221.419128     0.921294    6.921602    6.920747    6.920633    331.5166
      3     -221.518280     0.922896    6.921639    6.920812    6.919842    331.4836
      4     -221.620102     0.601362    6.921304    6.921217    6.918445    331.4197
      5     -221.671371     0.461278    6.920700    6.921781    6.917497    331.3722
      6     -221.708313     0.440746    6.919764    6.922656    6.916693    331.3305
      7     -221.733627     0.444785    6.918776    6.923544    6.916299    331.3065
      8     -221.772614     0.485973    6.916814    6.925436    6.915777    331.2774
      9     -221.807190     0.432567    6.914194    6.928214    6.915094    331.2508
     10     -221.824677     0.316538    6.912969    6.929898    6.914956    331.2652
     11     -221.839417     0.283875    6.911965    6.931883    6.915005    331.3135
     12     -221.851135     0.280932    6.911324    6.933735    6.915246    331.3822
     13     -221.868958     0.319984    6.909747    6.937962    6.915726    331.5298
     14     -221.882324     0.284907    6.908251    6.941792    6.916200    331.6620
     15     -221.895569     0.199168    6.906351    6.946424    6.916824    331.8197
     16     -221.903107     0.171981    6.904376    6.950758    6.917332    331.9536
     17     -221.909393     0.159909    6.903111    6.953572    6.917774    332.0468
     18     -221.917389     0.164704    6.900680    6.958583    6.918346    332.1931
     19     -221.922318     0.169755    6.899494    6.961148    6.918707    332.2740
     20     -221.928040     0.166249    6.897331    6.965429    6.919061    332.3877
     21     -221.932114     0.132089    6.895204    6.969313    6.919248    332.4760
     22     -221.935822     0.131829    6.893161    6.972573    6.919253    332.5301
     23     -221.940079     0.130313    6.890072    6.977196    6.919255    332.5967
     24     -221.944473     0.138604    6.886680    6.981915    6.919241    332.6518
     25     -221.950867     0.183308    6.879718    6.991370    6.919210    332.7522
     26     -221.954636     0.145791    6.876185    6.995756    6.919179    332.7826
     27     -221.960297     0.125006    6.869643    7.004094    6.919227    332.8527
     28     -221.964691     0.188161    6.864433    7.010851    6.919357    332.9173
     29     -221.971283     0.197624    6.856396    7.021215    6.919552    333.0121
     30     -221.977814     0.176611    6.846147    7.034703    6.919795    333.1414
     31     -221.983826     0.221445    6.835423    7.049112    6.920141    333.2905
     32     -221.989105     0.184342    6.830214    7.056063    6.920292    333.3597
     33     -221.998932     0.235182    6.815522    7.076103    6.920710    333.5673
     34     -222.007446     0.244382    6.804188    7.091749    6.921067    333.7329
     35     -222.021332     0.209211    6.780678    7.125226    6.922103    334.1184
     36     -222.031891     0.252051    6.749899    7.169854    6.923839    334.6388
     37     -222.041626     0.233939    6.748926    7.172442    6.924365    334.7373
     38     -222.054520     0.217895    6.739154    7.189141    6.925931    335.0642
     39     -222.063934     0.242003    6.732573    7.201608    6.927437    335.3603
     40     -222.073242     0.254700    6.716534    7.228626    6.929759    335.8490
     41     -222.081345     0.221302    6.712091    7.238602    6.931251    336.1436
     42     -222.089600     0.208452    6.694192    7.269119    6.933814    336.6879
     43     -222.098083     0.274148    6.686543    7.283747    6.935297    337.0108
     44     -222.112015     0.252945    6.684320    7.292302    6.936494    337.3445
     45     -222.123230     0.229577    6.678550    7.305894    6.937654    337.7036
     46     -222.133270     0.193022    6.669470    7.325539    6.939142    338.1667
     47     -222.141510     0.199601    6.664397    7.337540    6.940083    338.4779
     48     -222.150558     0.196143    6.653284    7.359082    6.941416    338.8979
     49     -222.158539     0.237818    6.647368    7.374714    6.942668    339.3391
     50     -222.165115     0.210608    6.633446    7.402097    6.944584    339.8818
     51     -222.171082     0.166786    6.635153    7.402899    6.944777    340.0315
     52     -222.176849     0.149852    6.631357    7.411814    6.945656    340.2647
     53     -222.183350     0.159967    6.626806    7.423944    6.946834    340.6168
     54     -222.189270     0.178297    6.619275    7.442922    6.948438    341.1286
     55     -222.195862     0.173254    6.611864    7.461749    6.949802    341.6282
     56     -222.202393     0.189539    6.594595    7.502766    6.952786    342.6357
     57     -222.207672     0.151728    6.599035    7.495465    6.951674    342.5240
     58     -222.214874     0.137026    6.598479    7.498074    6.950777    342.5798
     59     -222.220871     0.163858    6.593596    7.512700    6.950630    342.9630
     60     -222.226837     0.164733    6.588709    7.528802    6.950174    343.3953
     61     -222.232056     0.132087    6.582419    7.547871    6.949729    343.8736
     62     -222.235565     0.122800    6.579262    7.557454    6.949450    344.1086
     63     -222.240173     0.145744    6.574650    7.569941    6.948499    344.3566
     64     -222.244781     0.180736    6.573043    7.578185    6.946772    344.5562
     65     -222.251404     0.224934    6.572074    7.587318    6.942415    344.7120
     66     -222.255936     0.168063    6.575386    7.583991    6.939617    344.6283
     67     -222.260712     0.124957    6.573759    7.593636    6.937117    344.8437
     68     -222.264175     0.143449    6.575462    7.594610    6.933925    344.8353
     69     -222.268188     0.149280    6.575050    7.600298    6.930341    344.8913
     70     -222.274429     0.150182    6.571401    7.618194    6.922951    345.1091
     71     -222.279007     0.145941    6.571570    7.624473    6.918474    345.1740
     72     -222.285233     0.173136    6.567595    7.641150    6.911049    345.3025
     73     -222.289124     0.166699    6.569249    7.638206    6.908463    345.1428
     74     -222.295258     0.159227    6.566541    7.650326    6.902377    345.2081
     75     -222.300018     0.155253    6.563186    7.663771    6.895768    345.2622
     76     -222.304138     0.137317    6.562737    7.668095    6.891507    345.2061
     77     -222.307220     0.088943    6.559927    7.677657    6.888149    345.2804
  -------------------------------------------------------------------------------------

  Converged after 77 steps!  Fmax = 0.088943 eV/A
