    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000     229.0     -219.5608        0.7103     -218.8505      331.56
     100      0.2000     348.5     -220.5782        1.0811     -219.4970      331.56
     200      0.4000     210.1     -220.9053        0.6519     -220.2534      331.56
     300      0.6000     403.3     -220.9761        1.2511     -219.7249      331.56
     400      0.8000     290.9     -220.9937        0.9026     -220.0911      331.56
     500      1.0000     299.1     -221.1138        0.9280     -220.1858      331.56
     600      1.2000     284.8     -220.8444        0.8834     -219.9610      331.56
     700      1.4000     276.1     -220.6815        0.8564     -219.8251      331.56
     800      1.6000     297.9     -220.9767        0.9242     -220.0524      331.56
     900      1.8000     282.1     -220.9649        0.8750     -220.0899      331.56
    1000      2.0000     215.7     -221.0975        0.6691     -220.4284      331.56
    1100      2.2000     317.1     -220.9977        0.9837     -220.0140      331.56
    1200      2.4000     252.8     -221.0199        0.7841     -220.2357      331.56
    1300      2.6000     368.2     -220.9031        1.1423     -219.7609      331.56
    1400      2.8000     255.6     -220.7791        0.7930     -219.9862      331.56
    1500      3.0000     352.9     -220.9367        1.0948     -219.8419      331.56
    1600      3.2000     301.6     -220.8939        0.9356     -219.9583      331.56
    1700      3.4000     440.2     -221.0023        1.3657     -219.6366      331.56
    1800      3.6000     396.3     -220.4444        1.2295     -219.2149      331.56
    1900      3.8000     285.7     -220.5904        0.8862     -219.7042      331.56
    2000      4.0000     306.3     -220.7929        0.9503     -219.8426      331.56
