
  Composition: O16Ti8 (24 atoms)
  Initial cell: a=6.9213  b=6.9213  c=6.9213
  Volume: 331.56 A^3  Density: 3.20 g/cm3
  Optimizer: LBFGS  fmax=0.1  max_steps=100
  Cell filter: FrechetCellFilter

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
  -------------------------------------------------------------------------------------
      1     -221.215912     1.092096    6.921378    6.920709    6.920794    331.5119
      2     -221.428574     0.624677    6.921569    6.919405    6.919878    331.4145
      3     -221.524109     0.627114    6.922064    6.917896    6.918905    331.3191
      4     -221.595459     0.522455    6.922951    6.915961    6.917820    331.2164
      5     -221.651596     0.421380    6.924169    6.913718    6.916874    331.1210
      6     -221.692810     0.363696    6.925708    6.911004    6.916075    331.0252
      7     -221.720764     0.347196    6.927237    6.908181    6.915495    330.9337
      8     -221.750031     0.432734    6.929704    6.903364    6.914651    330.7772
      9     -221.771149     0.371293    6.931586    6.899415    6.914129    330.6501
     10     -221.795425     0.317616    6.934249    6.893573    6.913385    330.4567
     11     -221.817657     0.373158    6.937469    6.886485    6.912374    330.2152
     12     -221.840881     0.336725    6.941227    6.878274    6.911127    329.9313
     13     -221.861664     0.272077    6.945134    6.869928    6.909713    329.6381
     14     -221.880157     0.370949    6.949208    6.861510    6.908114    329.3381
     15     -221.899323     0.368209    6.953438    6.853004    6.906359    329.0314
     16     -221.922424     0.362484    6.959704    6.840561    6.903572    328.5714
     17     -221.944122     0.312617    6.963212    6.833685    6.901738    328.3028
     18     -221.970917     0.310216    6.969098    6.821981    6.898705    327.8420
     19     -221.992538     0.388014    6.975360    6.809473    6.895566    327.3478
     20     -222.015717     0.322905    6.982920    6.794501    6.891731    326.7483
     21     -222.038452     0.395839    6.990837    6.779296    6.887557    326.1279
     22     -222.062958     0.406236    6.997981    6.766272    6.883601    325.5865
     23     -222.081848     0.299779    7.003947    6.756356    6.880033    325.1642
     24     -222.094879     0.336789    7.007830    6.750721    6.877683    324.9261
     25     -222.113663     0.378243    7.014916    6.741177    6.873445    324.5260
     26     -222.129120     0.404952    7.020876    6.733946    6.869841    324.2220
     27     -222.150024     0.463782    7.031697    6.720716    6.863672    323.6732
     28     -222.167267     0.409304    7.039632    6.711954    6.859090    323.3059
     29     -222.182693     0.231573    7.050113    6.699518    6.853410    322.7878
     30     -222.192963     0.192845    7.054530    6.695846    6.850523    322.6196
     31     -222.205902     0.231271    7.061993    6.688739    6.845989    322.3066
     32     -222.216644     0.271005    7.066810    6.686216    6.842466    322.1767
     33     -222.227661     0.248547    7.076222    6.678487    6.836566    321.8267
     34     -222.235626     0.210876    7.083095    6.673844    6.831987    321.6036
     35     -222.242920     0.167877    7.089712    6.669035    6.827692    321.3748
     36     -222.248611     0.205178    7.094349    6.666726    6.824273    321.2457
     37     -222.254547     0.213123    7.100726    6.663449    6.819554    321.0589
     38     -222.259613     0.141517    7.105396    6.662639    6.815446    320.9678
     39     -222.264130     0.136139    7.108340    6.664394    6.811905    320.9772
     40     -222.267700     0.121780    7.110666    6.667079    6.808436    321.0170
     41     -222.270309     0.100208    7.112984    6.667722    6.805687    320.9895
     42     -222.272888     0.131899    7.115379    6.668469    6.802698    320.9585
     43     -222.275177     0.103965    7.118334    6.668474    6.799478    320.8968
     44     -222.277771     0.128516    7.121910    6.669541    6.795070    320.8509
     45     -222.280579     0.116371    7.125786    6.671560    6.789847    320.8231
     46     -222.283493     0.108648    7.130767    6.674855    6.782721    320.8027
     47     -222.285782     0.114781    7.133009    6.677724    6.778617    320.8227
     48     -222.288910     0.085982    7.135932    6.682123    6.772804    320.8619
  -------------------------------------------------------------------------------------

  Converged after 48 steps!  Fmax = 0.085982 eV/A
