    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000    2390.3     -564.3389       22.2458     -542.0932      935.34
     100      0.2000    1694.7     -561.4271       15.7723     -545.6548      934.22
     200      0.4000    1987.4     -565.4142       18.4962     -546.9179      932.16
     300      0.6000    1993.8     -565.9990       18.5560     -547.4430      928.76
     400      0.8000    1960.2     -569.3416       18.2433     -551.0984      948.36
     500      1.0000    2016.0     -569.2979       18.7622     -550.5357      948.41
     600      1.2000    1961.3     -568.4943       18.2535     -550.2408      947.51
     700      1.4000    1767.2     -567.0769       16.4472     -550.6297      950.89
     800      1.6000    1979.0     -569.3032       18.4178     -550.8854      951.03
     900      1.8000    1950.0     -568.7391       18.1477     -550.5913      954.65
    1000      2.0000    1888.1     -568.7145       17.5720     -551.1425      951.22
    1100      2.2000    2035.4     -569.2493       18.9427     -550.3067      953.61
    1200      2.4000    2139.8     -570.6992       19.9150     -550.7842      952.30
    1300      2.6000    2073.9     -570.0002       19.3010     -550.6992      955.84
    1400      2.8000    2021.6     -570.7729       18.8143     -551.9585      961.59
    1500      3.0000    1897.7     -570.3588       17.6616     -552.6971      963.30
    1600      3.2000    2201.4     -571.7730       20.4878     -551.2852      968.89
    1700      3.4000    2002.3     -570.7986       18.6350     -552.1636      964.89
    1800      3.6000    2202.3     -571.4352       20.4963     -550.9389      964.83
    1900      3.8000    2163.2     -573.3797       20.1321     -553.2476      965.55
    2000      4.0000    1911.8     -570.4734       17.7930     -552.6804      968.92
