    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000     268.6     -586.6407        2.4995     -584.1412      964.25
     100      0.2000     295.3     -587.7783        2.7483     -585.0300      961.85
     200      0.4000     310.6     -587.8668        2.8902     -584.9766      961.59
     300      0.6000     282.4     -587.5332        2.6281     -584.9051      961.19
     400      0.8000     294.6     -587.8086        2.7416     -585.0670      960.78
     500      1.0000     327.7     -588.1345        3.0497     -585.0849      960.67
     600      1.2000     312.0     -588.0472        2.9041     -585.1432      959.92
     700      1.4000     305.2     -587.8706        2.8402     -585.0304      959.30
     800      1.6000     298.4     -587.7519        2.7770     -584.9749      959.99
     900      1.8000     278.3     -587.5066        2.5905     -584.9161      959.63
    1000      2.0000     317.8     -587.9461        2.9580     -584.9881      959.68
    1100      2.2000     330.2     -587.9473        3.0733     -584.8740      958.12
    1200      2.4000     284.4     -587.6871        2.6467     -585.0404      959.10
    1300      2.6000     294.5     -587.7175        2.7409     -584.9766      959.02
    1400      2.8000     284.9     -587.7565        2.6517     -585.1047      958.69
    1500      3.0000     322.9     -587.9530        3.0056     -584.9474      959.20
    1600      3.2000     295.3     -587.7495        2.7487     -585.0008      959.87
    1700      3.4000     308.2     -587.9800        2.8687     -585.1114      958.14
    1800      3.6000     308.5     -587.8351        2.8710     -584.9642      958.70
    1900      3.8000     335.1     -588.0202        3.1190     -584.9012      958.75
    2000      4.0000     313.0     -587.7882        2.9133     -584.8749      958.63
