    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000     318.8     -600.4495        2.9671     -597.4823      974.34
     100      0.2000     300.3     -597.7269        2.7947     -594.9323      976.80
     200      0.4000     307.2     -597.6682        2.8587     -594.8095      980.30
     300      0.6000     271.8     -597.3908        2.5299     -594.8609      982.89
     400      0.8000     310.0     -597.8112        2.8849     -594.9262      988.99
     500      1.0000     298.9     -597.7800        2.7817     -594.9983      989.63
     600      1.2000     276.0     -597.6581        2.5685     -595.0896      990.48
     700      1.4000     291.2     -597.7075        2.7101     -594.9973      990.46
     800      1.6000     290.8     -597.6517        2.7068     -594.9449      989.82
     900      1.8000     308.0     -597.8043        2.8666     -594.9377      987.82
    1000      2.0000     294.5     -597.6010        2.7413     -594.8597      989.04
    1100      2.2000     297.0     -597.7543        2.7644     -594.9899      988.52
    1200      2.4000     281.1     -597.5327        2.6158     -594.9168      990.04
    1300      2.6000     283.4     -597.4608        2.6376     -594.8232      992.65
    1400      2.8000     296.0     -597.8426        2.7551     -595.0874      994.35
    1500      3.0000     314.2     -597.8022        2.9244     -594.8777      992.65
    1600      3.2000     307.2     -597.7445        2.8588     -594.8857      991.24
    1700      3.4000     309.8     -597.7635        2.8828     -594.8807      990.40
    1800      3.6000     295.2     -597.5135        2.7473     -594.7662      995.53
    1900      3.8000     296.6     -597.6395        2.7601     -594.8794      996.39
    2000      4.0000     285.1     -597.4935        2.6533     -594.8402      999.10
