
  Composition: In16O24 (40 atoms)
  Initial cell: a=8.7529  b=8.7529  c=8.7529
  Volume: 670.59 A^3  Density: 5.50 g/cm3
  Optimizer: LBFGS  fmax=0.05  max_steps=500
  Cell filter: cubic
  [cell] Cubic: isotropic volume only, shape fixed

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
     89     -215.105567     0.760272    8.706238    8.706238    8.706238    659.9205
     90     -215.122186     0.677502    8.704934    8.704934    8.704934    659.6241
     91     -215.136328     0.342189    8.701721    8.701721    8.701721    658.8940
     92     -215.148300     0.186318    8.697906    8.697906    8.697906    658.0276
     93     -215.158526     0.356518    8.694791    8.694791    8.694791    657.3210
     94     -215.168037     0.401404    8.693474    8.693474    8.693474    657.0222
     95     -215.177012     0.196546    8.693822    8.693822    8.693822    657.1012
     96     -215.185974     0.220389    8.695016    8.695016    8.695016    657.3719
     97     -215.195219     0.382099    8.696098    8.696098    8.696098    657.6175
     98     -215.204641     0.382068    8.695406    8.695406    8.695406    657.4605
     99     -215.213479     0.269921    8.693558    8.693558    8.693558    657.0412
    100     -215.222137     0.221999    8.689863    8.689863    8.689863    656.2039
    101     -215.230468     0.193676    8.687074    8.687074    8.687074    655.5722
    102     -215.238713     0.394203    8.684273    8.684273    8.684273    654.9382
    103     -215.246259     0.188122    8.684262    8.684262    8.684262    654.9358
    104     -215.254191     0.152769    8.684934    8.684934    8.684934    655.0879
    105     -215.261515     0.382783    8.685326    8.685326    8.685326    655.1765
    106     -215.270129     0.433434    8.685284    8.685284    8.685284    655.1671
    107     -215.277786     0.145474    8.682779    8.682779    8.682779    654.6005
    108     -215.280966     1.080007    8.690498    8.690498    8.690498    656.3477
    109     -215.280767     1.841192    8.671932    8.671932    8.671932    652.1502
    110     -215.290735     0.296681    8.681042    8.681042    8.681042    654.2077
    111     -215.294063     0.089173    8.683892    8.683892    8.683892    654.8521
    112     -215.300338     0.585298    8.687216    8.687216    8.687216    655.6045
    113     -215.304574     0.438114    8.686986    8.686986    8.686986    655.5524
    114     -215.309176     0.125005    8.684505    8.684505    8.684505    654.9907
    115     -215.312968     0.117811    8.683057    8.683057    8.683057    654.6633
    116     -215.316093     0.471199    8.679822    8.679822    8.679822    653.9317
    117     -215.319197     0.205397    8.681385    8.681385    8.681385    654.2851
    118     -215.322549     0.126080    8.682236    8.682236    8.682236    654.4775
    119     -215.327734     0.254597    8.683364    8.683364    8.683364    654.7327
    120     -215.331681     0.246012    8.683014    8.683014    8.683014    654.6535
    121     -215.336859     0.242527    8.682208    8.682208    8.682208    654.4712
    122     -215.341817     0.150979    8.680494    8.680494    8.680494    654.0837
    123     -215.347945     0.163405    8.679355    8.679355    8.679355    653.8262
    124     -215.356182     0.328075    8.678098    8.678098    8.678098    653.5422
    125     -215.363267     0.153015    8.678385    8.678385    8.678385    653.6071
    126     -215.371197     0.162919    8.679055    8.679055    8.679055    653.7585
    127     -215.377539     0.267318    8.678752    8.678752    8.678752    653.6900
