    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000     367.6     -220.7744        1.1405     -219.6339      331.56
     100      0.2000     371.7     -220.9030        1.1531     -219.7499      331.56
     200      0.4000     288.2     -221.1623        0.8939     -220.2683      331.56
     300      0.6000     278.3     -220.9261        0.8633     -220.0628      331.56
     400      0.8000     256.2     -220.9167        0.7947     -220.1220      331.56
     500      1.0000     357.7     -221.0729        1.1098     -219.9631      331.56
     600      1.2000     343.1     -221.2847        1.0643     -220.2204      331.56
     700      1.4000     324.9     -220.7158        1.0080     -219.7079      331.56
     800      1.6000     393.5     -221.1012        1.2207     -219.8805      331.56
     900      1.8000     293.7     -220.3100        0.9112     -219.3988      331.56
    1000      2.0000     291.2     -220.9748        0.9033     -220.0714      331.56
    1100      2.2000     331.9     -220.7774        1.0298     -219.7476      331.56
    1200      2.4000     254.5     -220.7496        0.7896     -219.9601      331.56
    1300      2.6000     347.6     -220.9716        1.0783     -219.8934      331.56
    1400      2.8000     258.6     -221.0339        0.8023     -220.2316      331.56
    1500      3.0000     278.4     -220.5791        0.8636     -219.7156      331.56
    1600      3.2000     345.2     -220.7694        1.0708     -219.6986      331.56
    1700      3.4000     273.5     -221.0259        0.8486     -220.1773      331.56
    1800      3.6000     343.8     -220.8250        1.0665     -219.7585      331.56
    1900      3.8000     320.6     -221.0003        0.9945     -220.0058      331.56
    2000      4.0000     260.3     -220.5927        0.8074     -219.7854      331.56
