    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000     263.0     -219.3416        0.8160     -218.5256      331.56
     100      0.2000     366.9     -219.7451        1.1381     -218.6071      331.56
     200      0.4000     240.0     -219.7516        0.7444     -219.0072      331.56
     300      0.6000     275.9     -220.2152        0.8559     -219.3594      331.56
     400      0.8000     332.3     -220.8849        1.0309     -219.8540      331.56
     500      1.0000     296.7     -221.3002        0.9203     -220.3799      331.56
     600      1.2000     263.5     -221.1648        0.8175     -220.3472      331.56
     700      1.4000     282.0     -221.0962        0.8749     -220.2213      331.56
     800      1.6000     268.3     -221.0665        0.8323     -220.2342      331.56
     900      1.8000     287.9     -221.0577        0.8933     -220.1644      331.56
    1000      2.0000     312.7     -220.8547        0.9702     -219.8845      331.56
    1100      2.2000     341.3     -220.7838        1.0587     -219.7251      331.56
    1200      2.4000     258.9     -221.1237        0.8031     -220.3206      331.56
    1300      2.6000     238.5     -221.0647        0.7400     -220.3246      331.56
    1400      2.8000     386.9     -220.8532        1.2002     -219.6530      331.56
    1500      3.0000     223.1     -220.8396        0.6921     -220.1475      331.56
    1600      3.2000     374.9     -220.9593        1.1629     -219.7964      331.56
    1700      3.4000     309.7     -220.6388        0.9607     -219.6780      331.56
    1800      3.6000     314.6     -221.0757        0.9759     -220.0999      331.56
    1900      3.8000     341.2     -221.3360        1.0584     -220.2776      331.56
    2000      4.0000     259.0     -221.1222        0.8033     -220.3189      331.56
