
  Composition: O16Ti8 (24 atoms)
  Initial cell: a=6.9213  b=6.9213  c=6.9213
  Volume: 331.56 A^3
  Optimizer: LBFGS  fmax=0.1  max_steps=100

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
  -------------------------------------------------------------------------------------
      1     -220.805817     1.035109    6.922245    6.923138    6.922593    331.7560
      2     -221.009277     0.771749    6.923699    6.926432    6.925398    332.1179
      3     -221.111633     0.717030    6.925356    6.929847    6.928758    332.5221
      4     -221.215668     0.674213    6.928023    6.934868    6.934169    333.1504
      5     -221.304153     0.589988    6.931122    6.940151    6.940356    333.8498
      6     -221.372528     0.453153    6.934644    6.945700    6.947322    334.6201
      7     -221.417389     0.458120    6.937894    6.950443    6.953643    335.3084
      8     -221.461533     0.335891    6.942083    6.956168    6.961618    336.1694
      9     -221.492981     0.346702    6.945892    6.961215    6.968773    336.9408
     10     -221.520630     0.390651    6.950356    6.967029    6.977193    337.8426
     11     -221.541595     0.403550    6.954615    6.972678    6.985432    338.7186
     12     -221.569489     0.369369    6.960615    6.980725    6.997425    339.9768
     13     -221.597580     0.425433    6.967358    6.990010    7.011445    341.4304
     14     -221.626068     0.445121    6.972443    6.997340    7.022924    342.5869
     15     -221.655167     0.389024    6.977643    7.005362    7.035554    343.8385
     16     -221.681244     0.334433    6.982828    7.013730    7.049005    345.1460
     17     -221.709015     0.455625    6.989031    7.023767    7.065177    346.7167
     18     -221.746185     0.425234    6.997635    7.038020    7.088672    348.9637
     19     -221.772705     0.372456    7.002492    7.046233    7.102673    350.2758
     20     -221.801117     0.286432    7.007856    7.055279    7.118523    351.7422
     21     -221.818771     0.292587    7.010362    7.059470    7.126296    352.4423
     22     -221.841461     0.324632    7.016085    7.068483    7.142435    353.9385
     23     -221.859650     0.382289    7.021062    7.076159    7.156406    355.2279
     24     -221.882935     0.382892    7.027795    7.086347    7.175294    356.9607
     25     -221.903168     0.336338    7.031578    7.091709    7.186009    357.9186
     26     -221.924744     0.246696    7.037964    7.100769    7.203556    359.5123
     27     -221.941223     0.300354    7.041529    7.105337    7.213773    360.3937
     28     -221.963882     0.329925    7.045998    7.110502    7.227035    361.4874
     29     -221.987549     0.313080    7.052061    7.117202    7.245257    362.9636
     30     -222.004639     0.265716    7.055854    7.120658    7.256523    363.8407
     31     -222.021423     0.238726    7.061990    7.126696    7.273964    365.2500
     32     -222.032166     0.270770    7.066241    7.130514    7.285991    366.2042
     33     -222.043259     0.200432    7.067809    7.129788    7.290648    366.4498
     34     -222.050293     0.169188    7.070283    7.131022    7.297161    366.9301
     35     -222.056351     0.121538    7.070782    7.128588    7.297961    366.8585
     36     -222.059845     0.143495    7.072232    7.128248    7.301529    367.0701
     37     -222.064728     0.160178    7.073074    7.125663    7.303034    367.0378
     38     -222.070160     0.151544    7.075254    7.123685    7.307591    367.2404
     39     -222.074493     0.129149    7.074829    7.117913    7.305372    366.8059
     40     -222.078613     0.115600    7.076888    7.116255    7.309740    367.0098
     41     -222.083450     0.154665    7.078387    7.111375    7.311977    366.9136
     42     -222.087463     0.157054    7.081085    7.110249    7.317705    367.2343
     43     -222.092163     0.140417    7.083281    7.107120    7.321890    367.3486
     44     -222.095917     0.134644    7.084698    7.103746    7.323972    367.3185
     45     -222.099976     0.130759    7.086760    7.098605    7.327279    367.2721
     46     -222.104309     0.154774    7.088180    7.091851    7.328512    367.0130
     47     -222.110443     0.173217    7.090360    7.083278    7.330960    366.7368
     48     -222.117279     0.160710    7.093289    7.071939    7.334143    366.3683
     49     -222.122925     0.159582    7.095605    7.065284    7.336670    366.2055
     50     -222.128387     0.142536    7.098026    7.060565    7.339867    366.1860
     51     -222.132614     0.143750    7.100169    7.054586    7.342057    366.0373
     52     -222.135742     0.121616    7.102657    7.048168    7.344739    365.8997
     53     -222.137970     0.082686    7.103889    7.046483    7.346066    365.9183
  -------------------------------------------------------------------------------------

  Converged after 53 steps!  Fmax = 0.082686 eV/A
