
  Composition: O16Ti8 (24 atoms)
  Initial cell: a=6.9213  b=6.9213  c=6.9213
  Volume: 331.56 A^3  Density: 3.20 g/cm3
  Optimizer: LBFGS  fmax=0.1  max_steps=100
  Cell filter: FrechetCellFilter

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
  -------------------------------------------------------------------------------------
      1     -221.365845     0.935844    6.922890    6.922016    6.922999    331.7526
      2     -221.542755     0.601032    6.926916    6.924032    6.926647    332.2171
      3     -221.628845     0.621477    6.931279    6.926439    6.930541    332.7289
      4     -221.738800     0.925945    6.939864    6.931523    6.938182    333.7527
      5     -221.836624     0.772421    6.950111    6.938039    6.947358    335.0016
      6     -221.917099     0.586347    6.961920    6.946062    6.958028    336.4741
      7     -221.972488     0.519356    6.971508    6.952959    6.966824    337.6976
      8     -222.038452     0.532020    6.985888    6.963586    6.980256    339.5635
      9     -222.093506     0.545344    7.000083    6.974209    6.993737    341.4290
     10     -222.162643     0.629918    7.020306    6.989536    7.013167    344.1183
     11     -222.213837     0.440990    7.037504    7.002746    7.029760    346.4277
     12     -222.256622     0.363302    7.053705    7.015532    7.045449    348.6318
     13     -222.290955     0.318636    7.065929    7.025627    7.057359    350.3263
     14     -222.347214     0.615323    7.089193    7.045641    7.080187    353.6134
     15     -222.390564     0.569663    7.106148    7.061251    7.097074    356.0850
     16     -222.431335     0.412719    7.125078    7.079070    7.115915    358.8766
     17     -222.463318     0.425088    7.140002    7.093874    7.130865    361.1304
     18     -222.490234     0.325581    7.153816    7.108178    7.144696    363.2548
     19     -222.512558     0.413169    7.165689    7.121320    7.156628    365.1324
     20     -222.534119     0.311321    7.176227    7.134132    7.167305    366.8670
     21     -222.552032     0.268269    7.186780    7.146649    7.177878    368.5870
     22     -222.566025     0.215421    7.195383    7.157503    7.186510    370.0271
     23     -222.576828     0.314287    7.201758    7.166779    7.193015    371.1656
     24     -222.586914     0.251111    7.203719    7.172041    7.195147    371.6473
     25     -222.594940     0.221479    7.206939    7.179020    7.198594    372.3504
     26     -222.601730     0.176697    7.210850    7.186795    7.202763    373.1680
     27     -222.608185     0.180627    7.214567    7.195252    7.206834    374.0065
     28     -222.614471     0.186869    7.217955    7.204353    7.210681    374.8502
     29     -222.621185     0.147395    7.220270    7.213782    7.213558    375.6056
     30     -222.626312     0.140054    7.221721    7.223064    7.215608    376.2658
     31     -222.630020     0.119083    7.222744    7.227267    7.216857    376.6003
     32     -222.634689     0.179505    7.222641    7.232925    7.217186    376.9030
     33     -222.637878     0.165225    7.222569    7.237302    7.217461    377.1386
     34     -222.642944     0.165610    7.222482    7.249016    7.218352    377.7825
     35     -222.645691     0.147525    7.221096    7.257100    7.217804    378.0963
     36     -222.648254     0.098989    7.219854    7.261677    7.217216    378.2350
  -------------------------------------------------------------------------------------

  Converged after 36 steps!  Fmax = 0.098989 eV/A
