    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
    9000     18.0000    1884.1     -212.2745        5.8449     -206.4296      331.56
    9100     18.2000    2068.8     -212.4802        6.4178     -206.0624      331.56
    9200     18.4000    1727.2     -212.3161        5.3581     -206.9580      331.56
    9300     18.6000    1759.5     -213.5428        5.4585     -208.0843      331.56
    9400     18.8000    2041.6     -213.7252        6.3335     -207.3917      331.56
    9500     19.0000    1866.5     -215.2739        5.7903     -209.4836      331.56
    9600     19.2000    1706.1     -213.1576        5.2929     -207.8648      331.56
    9700     19.4000    1609.6     -213.7994        4.9933     -208.8061      331.56
    9800     19.6000    1621.5     -213.7643        5.0303     -208.7340      331.56
    9900     19.8000    1949.7     -213.4392        6.0484     -207.3908      331.56
   10000     20.0000    1946.4     -212.3786        6.0381     -206.3405      331.56
