    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000     362.2     -583.3875        3.3713     -580.0161      994.41
     100      0.1000     300.7     -584.6172        2.7988     -581.8183      990.59
     200      0.2000     282.1     -585.0170        2.6254     -582.3916      987.80
     300      0.3000     288.0     -585.0446        2.6803     -582.3644      986.36
     400      0.4000     311.7     -585.0875        2.9006     -582.1869      984.04
     500      0.5000     316.7     -585.2080        2.9472     -582.2608      984.36
     600      0.6000     276.4     -584.9213        2.5723     -582.3490      983.37
     700      0.7000     306.2     -585.1545        2.8496     -582.3049      980.82
     800      0.8000     324.1     -585.3344        3.0166     -582.3178      980.13
     900      0.9000     303.0     -585.1658        2.8201     -582.3457      978.95
    1000      1.0000     345.2     -585.9088        3.2127     -582.6961      978.19
