    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000     271.9     -600.4500        2.5309     -597.9191      975.19
     100      0.1000     255.2     -598.4885        2.3755     -596.1129      975.19
     200      0.2000     255.7     -597.7367        2.3793     -595.3574      975.19
     300      0.3000     332.8     -597.7128        3.0975     -594.6153      975.19
     400      0.4000     314.1     -597.2001        2.9230     -594.2771      975.19
     500      0.5000     269.5     -597.5712        2.5077     -595.0635      975.19
     600      0.6000     283.7     -597.9112        2.6403     -595.2709      975.19
     700      0.7000     329.8     -598.1271        3.0698     -595.0573      975.19
     800      0.8000     289.5     -597.6821        2.6944     -594.9877      975.19
     900      0.9000     290.5     -597.8217        2.7032     -595.1184      975.19
    1000      1.0000     274.2     -597.0955        2.5514     -594.5441      975.19
