    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000     351.2     -219.4521        1.0895     -218.3626      331.56
     100      0.2000     382.0     -220.7346        1.1852     -219.5494      331.56
     200      0.4000     306.5     -220.4095        0.9508     -219.4588      331.56
     300      0.6000     299.8     -220.5628        0.9301     -219.6327      331.56
     400      0.8000     291.7     -220.8362        0.9049     -219.9312      331.56
     500      1.0000     296.6     -221.1096        0.9203     -220.1894      331.56
     600      1.2000     304.4     -220.7196        0.9442     -219.7754      331.56
     700      1.4000     274.4     -220.8559        0.8511     -220.0047      331.56
     800      1.6000     393.1     -221.0822        1.2194     -219.8629      331.56
     900      1.8000     333.3     -221.1039        1.0341     -220.0699      331.56
    1000      2.0000     277.9     -221.0875        0.8623     -220.2252      331.56
    1100      2.2000     245.1     -221.0896        0.7605     -220.3291      331.56
    1200      2.4000     267.9     -221.2704        0.8312     -220.4392      331.56
    1300      2.6000     225.5     -221.2098        0.6996     -220.5102      331.56
    1400      2.8000     198.0     -220.8182        0.6143     -220.2040      331.56
    1500      3.0000     317.7     -221.0184        0.9856     -220.0328      331.56
    1600      3.2000     347.0     -220.9750        1.0766     -219.8984      331.56
    1700      3.4000     282.9     -221.0986        0.8775     -220.2211      331.56
    1800      3.6000     424.6     -221.1516        1.3173     -219.8343      331.56
    1900      3.8000     285.5     -221.1163        0.8856     -220.2307      331.56
    2000      4.0000     347.1     -221.2626        1.0768     -220.1857      331.56
