    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000     261.2     -220.0573        0.8104     -219.2470      331.56
     100      0.2000     186.0     -220.7260        0.5771     -220.1488      331.56
     200      0.4000     393.9     -220.9517        1.2219     -219.7298      331.56
     300      0.6000     272.0     -220.9018        0.8439     -220.0579      331.56
     400      0.8000     272.7     -220.8928        0.8459     -220.0469      331.56
     500      1.0000     310.5     -221.1418        0.9631     -220.1787      331.56
     600      1.2000     349.6     -220.9092        1.0846     -219.8246      331.56
     700      1.4000     277.4     -220.6746        0.8606     -219.8139      331.56
     800      1.6000     258.7     -221.1060        0.8025     -220.3035      331.56
     900      1.8000     330.9     -221.0486        1.0265     -220.0221      331.56
    1000      2.0000     377.0     -221.5318        1.1697     -220.3621      331.56
    1100      2.2000     406.7     -221.5249        1.2617     -220.2632      331.56
    1200      2.4000     230.1     -221.5403        0.7138     -220.8265      331.56
    1300      2.6000     370.9     -221.7835        1.1507     -220.6328      331.56
    1400      2.8000     256.0     -221.5739        0.7941     -220.7798      331.56
    1500      3.0000     347.9     -221.5917        1.0794     -220.5123      331.56
    1600      3.2000     226.3     -221.5818        0.7022     -220.8796      331.56
    1700      3.4000     293.1     -221.3920        0.9092     -220.4828      331.56
    1800      3.6000     405.3     -221.6071        1.2573     -220.3498      331.56
    1900      3.8000     429.8     -221.7976        1.3334     -220.4642      331.56
    2000      4.0000     265.4     -221.6051        0.8235     -220.7817      331.56
