
  Composition: O16Ti8 (24 atoms)
  Initial cell: a=6.9213  b=6.9213  c=6.9213
  Volume: 331.56 A^3  Density: 3.20 g/cm3
  Optimizer: LBFGS  fmax=0.1  max_steps=100
  Cell filter: FrechetCellFilter

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
  -------------------------------------------------------------------------------------
      1     -220.977859     1.111744    6.922465    6.922434    6.923881    331.7945
      2     -221.186874     0.718440    6.924499    6.925280    6.928976    332.2727
      3     -221.288452     0.716750    6.926367    6.928527    6.934366    332.7767
      4     -221.403107     0.630258    6.929362    6.934333    6.943921    333.6581
      5     -221.481323     0.552507    6.932054    6.940091    6.953433    334.5214
      6     -221.545197     0.529208    6.934686    6.946434    6.963984    335.4610
      7     -221.595932     0.465294    6.936695    6.952000    6.973291    336.2740
      8     -221.651962     0.448527    6.939677    6.960923    6.988213    337.5676
      9     -221.688873     0.449575    6.941529    6.967214    6.998621    338.4631
     10     -221.736328     0.438333    6.944332    6.977187    7.014995    339.8722
     11     -221.785645     0.420101    6.948190    6.991127    7.037811    341.8391
     12     -221.832962     0.477084    6.951918    7.005060    7.060704    343.8073
     13     -221.883545     0.431490    6.956346    7.022066    7.088837    346.2185
     14     -221.922760     0.356715    6.959361    7.033857    7.108705    347.9088
     15     -221.972687     0.460298    6.963253    7.048820    7.134498    350.0893
     16     -222.021240     0.624322    6.967882    7.066243    7.164952    352.6594
     17     -222.074112     0.599332    6.973435    7.087392    7.202387    355.8067
     18     -222.124359     0.490044    6.979214    7.109461    7.241840    359.1186
     19     -222.168243     0.449910    6.984479    7.130040    7.278881    362.2213
     20     -222.206635     0.405724    6.987162    7.142419    7.302125    364.1121
     21     -222.240997     0.404417    6.989254    7.154262    7.324907    365.9246
     22     -222.274567     0.339245    6.989794    7.162621    7.342249    367.2156
     23     -222.301804     0.297209    6.991165    7.175639    7.368076    369.2001
     24     -222.323792     0.296035    6.990756    7.181992    7.382124    370.1804
     25     -222.344376     0.298536    6.990172    7.189548    7.398929    371.3463
     26     -222.358856     0.282848    6.989934    7.197361    7.415818    372.5490
     27     -222.369995     0.232023    6.989367    7.203967    7.430563    373.5689
     28     -222.379074     0.241498    6.988048    7.207961    7.440786    374.1959
     29     -222.389008     0.196821    6.985897    7.212918    7.454100    374.9757
     30     -222.398849     0.218433    6.983037    7.217578    7.467608    375.7105
     31     -222.409088     0.213358    6.979209    7.221748    7.481128    376.3669
     32     -222.417938     0.277014    6.975519    7.227452    7.497562    377.2489
     33     -222.426910     0.267151    6.971456    7.231827    7.511488    377.9203
     34     -222.437683     0.239743    6.965842    7.238034    7.530889    378.8622
     35     -222.447845     0.237436    6.959278    7.246365    7.555659    380.1157
     36     -222.457245     0.252241    6.950918    7.255083    7.582922    381.4046
     37     -222.463440     0.220361    6.946009    7.257610    7.593019    381.7444
     38     -222.470703     0.150099    6.939735    7.257582    7.598309    381.6485
     39     -222.475800     0.156681    6.935153    7.258189    7.603163    381.6595
     40     -222.482025     0.120622    6.926472    7.260634    7.615336    381.8865
     41     -222.486053     0.130018    6.919875    7.262808    7.625131    382.1004
     42     -222.491684     0.147558    6.910917    7.265132    7.636722    382.2778
     43     -222.496719     0.167602    6.902339    7.266440    7.645774    382.3028
     44     -222.502686     0.167347    6.893197    7.269329    7.658015    382.5319
     45     -222.508606     0.157895    6.883956    7.270497    7.666669    382.4972
     46     -222.514282     0.184478    6.873644    7.273523    7.680315    382.7334
     47     -222.519714     0.197377    6.865121    7.272852    7.684653    382.4392
     48     -222.525299     0.182925    6.852854    7.275461    7.699101    382.5801
     49     -222.529572     0.151696    6.841757    7.274551    7.705459    382.2208
     50     -222.533783     0.144114    6.829480    7.275499    7.716691    382.1203
     51     -222.537460     0.137796    6.818551    7.277518    7.729367    382.2142
     52     -222.541077     0.139726    6.812698    7.278333    7.735724    382.2331
     53     -222.544144     0.097175    6.807280    7.279843    7.743333    382.3695
  -------------------------------------------------------------------------------------

  Converged after 53 steps!  Fmax = 0.097175 eV/A
