    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000     333.5     -219.9986        1.0346     -218.9640      331.56
     100      0.2000     322.9     -220.6417        1.0018     -219.6399      331.56
     200      0.4000     305.3     -220.8533        0.9470     -219.9063      331.56
     300      0.6000     316.3     -220.7203        0.9813     -219.7390      331.56
     400      0.8000     262.5     -220.3090        0.8144     -219.4946      331.56
     500      1.0000     267.4     -220.7056        0.8296     -219.8760      331.56
     600      1.2000     427.8     -220.6757        1.3272     -219.3485      331.56
     700      1.4000     330.1     -220.7613        1.0240     -219.7374      331.56
     800      1.6000     265.5     -220.2052        0.8237     -219.3815      331.56
     900      1.8000     311.1     -220.2862        0.9650     -219.3212      331.56
    1000      2.0000     287.8     -220.4058        0.8927     -219.5131      331.56
    1100      2.2000     254.5     -220.5198        0.7896     -219.7302      331.56
    1200      2.4000     313.7     -220.6624        0.9732     -219.6891      331.56
    1300      2.6000     357.3     -220.5402        1.1085     -219.4318      331.56
    1400      2.8000     364.7     -220.7430        1.1314     -219.6115      331.56
    1500      3.0000     334.3     -220.6120        1.0372     -219.5749      331.56
    1600      3.2000     329.0     -220.7244        1.0207     -219.7037      331.56
    1700      3.4000     280.9     -220.4682        0.8713     -219.5969      331.56
    1800      3.6000     347.9     -220.5930        1.0793     -219.5137      331.56
    1900      3.8000     314.5     -220.4692        0.9756     -219.4937      331.56
    2000      4.0000     289.8     -220.6687        0.8991     -219.7696      331.56
