    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000     243.1     -219.6156        0.7542     -218.8615      331.56
     100      0.2000     316.2     -220.5929        0.9808     -219.6121      331.56
     200      0.4000     309.2     -221.1260        0.9591     -220.1670      331.56
     300      0.6000     316.3     -220.6884        0.9813     -219.7070      331.56
     400      0.8000     224.7     -221.0096        0.6972     -220.3124      331.56
     500      1.0000     302.9     -221.0936        0.9396     -220.1540      331.56
     600      1.2000     252.7     -220.8389        0.7839     -220.0550      331.56
     700      1.4000     253.0     -221.0364        0.7847     -220.2517      331.56
     800      1.6000     370.9     -221.1857        1.1505     -220.0352      331.56
     900      1.8000     285.9     -220.9868        0.8870     -220.0999      331.56
    1000      2.0000     344.4     -220.8523        1.0685     -219.7838      331.56
    1100      2.2000     298.5     -220.9427        0.9261     -220.0166      331.56
    1200      2.4000     311.1     -220.6608        0.9651     -219.6957      331.56
    1300      2.6000     325.4     -221.0138        1.0095     -220.0043      331.56
    1400      2.8000     375.3     -221.1289        1.1642     -219.9647      331.56
    1500      3.0000     292.4     -221.0372        0.9072     -220.1301      331.56
    1600      3.2000     268.8     -220.8030        0.8338     -219.9692      331.56
    1700      3.4000     212.7     -220.5677        0.6600     -219.9077      331.56
    1800      3.6000     279.3     -220.9129        0.8666     -220.0463      331.56
    1900      3.8000     305.7     -221.0680        0.9482     -220.1197      331.56
    2000      4.0000     280.8     -220.9162        0.8710     -220.0452      331.56
