    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000    1723.3     -220.3107        5.3461     -214.9647      331.56
     100      0.2000    1196.6     -215.0204        3.7122     -211.3083      331.56
     200      0.4000    1422.7     -214.0232        4.4136     -209.6096      331.56
     300      0.6000    1780.0     -214.7159        5.5220     -209.1939      331.56
     400      0.8000    1876.2     -213.3936        5.8205     -207.5730      331.56
     500      1.0000    2235.5     -212.2461        6.9351     -205.3110      331.56
     600      1.2000    1835.6     -211.1727        5.6946     -205.4781      331.56
     700      1.4000    1590.4     -211.9149        4.9339     -206.9810      331.56
     800      1.6000    1752.3     -211.8049        5.4361     -206.3688      331.56
     900      1.8000    2504.0     -214.8806        7.7680     -207.1125      331.56
    1000      2.0000    1565.5     -214.3173        4.8564     -209.4608      331.56
    1100      2.2000    1796.0     -212.5488        5.5715     -206.9772      331.56
    1200      2.4000    2462.1     -213.0785        7.6379     -205.4405      331.56
    1300      2.6000    2057.8     -215.2469        6.3837     -208.8632      331.56
    1400      2.8000    1884.9     -212.8174        5.8475     -206.9698      331.56
    1500      3.0000    1890.4     -214.4311        5.8643     -208.5668      331.56
    1600      3.2000    1564.4     -213.7667        4.8533     -208.9134      331.56
    1700      3.4000    2189.8     -215.5512        6.7934     -208.7578      331.56
    1800      3.6000    2514.5     -215.1534        7.8006     -207.3528      331.56
    1900      3.8000    1617.3     -213.9330        5.0173     -208.9157      331.56
    2000      4.0000    2127.8     -215.1769        6.6009     -208.5761      331.56
    2100      4.2000    1685.5     -214.5254        5.2289     -209.2965      331.56
    2200      4.4000    1804.5     -214.5888        5.5981     -208.9907      331.56
    2300      4.6000    1719.6     -214.9422        5.3346     -209.6075      331.56
    2400      4.8000    2858.4     -216.4552        8.8673     -207.5879      331.56
    2500      5.0000    1838.2     -215.3154        5.7026     -209.6128      331.56
    2600      5.2000    1997.5     -210.7605        6.1969     -204.5636      331.56
    2700      5.4000    2383.4     -213.6874        7.3938     -206.2936      331.56
    2800      5.6000    2549.1     -212.3023        7.9078     -204.3945      331.56
    2900      5.8000    2024.6     -213.7601        6.2807     -207.4794      331.56
    3000      6.0000    2315.7     -214.0337        7.1837     -206.8499      331.56
    3100      6.2000    2280.1     -215.3181        7.0733     -208.2448      331.56
    3200      6.4000    2859.9     -216.2400        8.8720     -207.3680      331.56
    3300      6.6000    2174.1     -215.3229        6.7446     -208.5783      331.56
    3400      6.8000    2014.1     -214.5959        6.2481     -208.3477      331.56
    3500      7.0000    1532.4     -214.7144        4.7540     -209.9604      331.56
    3600      7.2000    1847.5     -214.0011        5.7313     -208.2698      331.56
    3700      7.4000    1888.8     -214.3260        5.8594     -208.4666      331.56
    3800      7.6000    2339.4     -215.0297        7.2574     -207.7723      331.56
    3900      7.8000    2903.7     -215.4755        9.0079     -206.4677      331.56
    4000      8.0000    1816.0     -214.7343        5.6338     -209.1006      331.56
    4100      8.2000    2359.1     -215.3968        7.3186     -208.0782      331.56
    4200      8.4000    1804.3     -211.8882        5.5973     -206.2909      331.56
    4300      8.6000    1877.2     -215.8950        5.8235     -210.0716      331.56
    4400      8.8000    1686.4     -214.4804        5.2317     -209.2486      331.56
    4500      9.0000    2388.4     -214.4014        7.4093     -206.9922      331.56
    4600      9.2000    1790.5     -216.6794        5.5545     -211.1249      331.56
    4700      9.4000    2071.1     -213.9932        6.4249     -207.5683      331.56
    4800      9.6000    2031.1     -211.9785        6.3009     -205.6775      331.56
    4900      9.8000    2299.7     -215.6978        7.1341     -208.5637      331.56
    5000     10.0000    1831.9     -212.0007        5.6830     -206.3176      331.56
    5100     10.2000    2079.8     -214.8382        6.4519     -208.3863      331.56
    5200     10.4000    2151.6     -216.2217        6.6748     -209.5469      331.56
    5300     10.6000    1688.1     -215.2522        5.2368     -210.0154      331.56
    5400     10.8000    2031.8     -213.8325        6.3033     -207.5292      331.56
    5500     11.0000    1864.7     -213.9567        5.7847     -208.1721      331.56
    5600     11.2000    2606.5     -214.6575        8.0859     -206.5716      331.56
    5700     11.4000    2694.5     -212.0757        8.3591     -203.7166      331.56
    5800     11.6000    2670.9     -215.1804        8.2858     -206.8947      331.56
    5900     11.8000    2351.7     -215.4257        7.2955     -208.1303      331.56
    6000     12.0000    2522.2     -215.0200        7.8244     -207.1956      331.56
    6100     12.2000    2028.3     -213.5744        6.2923     -207.2821      331.56
    6200     12.4000    1873.4     -212.7571        5.8116     -206.9454      331.56
    6300     12.6000    1917.5     -215.3088        5.9484     -209.3604      331.56
    6400     12.8000    1834.8     -213.7990        5.6921     -208.1069      331.56
    6500     13.0000    1910.4     -214.9184        5.9265     -208.9919      331.56
    6600     13.2000    1581.3     -213.0139        4.9054     -208.1085      331.56
    6700     13.4000    2217.8     -214.3240        6.8801     -207.4439      331.56
    6800     13.6000    1760.2     -214.6283        5.4607     -209.1676      331.56
    6900     13.8000    2074.9     -216.5551        6.4368     -210.1183      331.56
    7000     14.0000    2519.1     -214.3111        7.8148     -206.4963      331.56
    7100     14.2000    2425.4     -213.9856        7.5242     -206.4614      331.56
    7200     14.4000    2862.3     -214.9084        8.8795     -206.0288      331.56
    7300     14.6000    2298.9     -212.7803        7.1318     -205.6485      331.56
    7400     14.8000    1469.4     -214.7839        4.5583     -210.2255      331.56
    7500     15.0000    2181.8     -214.1527        6.7684     -207.3842      331.56
    7600     15.2000    1973.8     -214.2834        6.1231     -208.1603      331.56
    7700     15.4000    2166.3     -212.7669        6.7204     -206.0465      331.56
    7800     15.6000    1899.1     -214.9659        5.8916     -209.0743      331.56
    7900     15.8000    1894.2     -213.9219        5.8761     -208.0457      331.56
    8000     16.0000    1546.4     -211.9915        4.7974     -207.1941      331.56
    8100     16.2000    2243.4     -213.7485        6.9596     -206.7889      331.56
    8200     16.4000    1844.9     -215.7334        5.7233     -210.0101      331.56
    8300     16.6000    1858.8     -211.0714        5.7663     -205.3050      331.56
    8400     16.8000    1954.5     -214.2190        6.0633     -208.1557      331.56
    8500     17.0000    1543.3     -214.6228        4.7876     -209.8352      331.56
    8600     17.2000    2167.6     -214.0430        6.7245     -207.3185      331.56
    8700     17.4000    1800.8     -216.7304        5.5866     -211.1438      331.56
    8800     17.6000    1958.6     -214.9907        6.0762     -208.9145      331.56
    8900     17.8000    2013.5     -209.5833        6.2465     -203.3369      331.56
    9000     18.0000    2064.4     -216.7099        6.4042     -210.3058      331.56
    9100     18.2000    2389.6     -215.1416        7.4132     -207.7284      331.56
    9200     18.4000    1924.5     -215.5618        5.9704     -209.5914      331.56
    9300     18.6000    1511.3     -215.9508        4.6884     -211.2624      331.56
    9400     18.8000    2385.4     -212.5072        7.4001     -205.1071      331.56
    9500     19.0000    2290.6     -212.7894        7.1060     -205.6834      331.56
    9600     19.2000    1868.8     -213.8991        5.7973     -208.1018      331.56
    9700     19.4000    1875.0     -215.3539        5.8167     -209.5372      331.56
    9800     19.6000    1875.9     -215.0536        5.8194     -209.2342      331.56
    9900     19.8000    1587.7     -214.9979        4.9254     -210.0725      331.56
   10000     20.0000    2103.9     -215.6767        6.5267     -209.1500      331.56
