
  Composition: O16Ti8 (24 atoms)
  Initial cell: a=6.9213  b=6.9213  c=6.9213
  Volume: 331.56 A^3
  Optimizer: LBFGS  fmax=0.1  max_steps=300

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
     90     -221.295807     0.311854    6.806182    7.709629    7.092669    367.3076
     91     -221.309753     0.247262    6.809914    7.714864    7.094347    367.7153
     92     -221.319794     0.210559    6.811555    7.718671    7.095728    367.9699
     93     -221.328003     0.216153    6.814426    7.723925    7.097968    368.3985
     94     -221.332809     0.180167    6.813803    7.725642    7.098602    368.4192
     95     -221.338165     0.155568    6.812452    7.727662    7.099514    368.4350
     96     -221.343521     0.141546    6.810366    7.730555    7.100606    368.4189
     97     -221.349609     0.210965    6.805438    7.731123    7.100946    368.0798
     98     -221.355194     0.172367    6.803362    7.736521    7.102975    368.1687
     99     -221.360260     0.172282    6.800264    7.738508    7.104253    368.0594
    100     -221.364960     0.162239    6.796839    7.739972    7.105400    367.9074
    101     -221.370895     0.187385    6.794012    7.744979    7.108410    368.0151
    102     -221.375977     0.197510    6.791482    7.753199    7.112383    368.2756
    103     -221.379852     0.104207    6.788526    7.758833    7.115336    368.3747
    104     -221.382980     0.111783    6.785194    7.765182    7.118799    368.4874
    105     -221.386353     0.116581    6.782860    7.770238    7.121845    368.6283
    106     -221.392334     0.184604    6.775520    7.772551    7.125428    368.3487
    107     -221.398041     0.196150    6.767370    7.774491    7.129378    368.0029
    108     -221.403076     0.209161    6.758893    7.773646    7.132444    367.5251
    109     -221.408066     0.219953    6.755950    7.771879    7.133359    367.3130
    110     -221.412933     0.197419    6.749187    7.770683    7.135617    366.9171
    111     -221.417908     0.154941    6.739932    7.772336    7.139605    366.4952
    112     -221.421844     0.129295    6.732699    7.775695    7.143780    366.3011
    113     -221.426361     0.118590    6.725483    7.783893    7.149969    366.3192
    114     -221.431305     0.179432    6.714106    7.790202    7.156770    366.0201
    115     -221.435883     0.177234    6.705161    7.797506    7.163479    365.8837
    116     -221.440018     0.126974    6.697488    7.800869    7.167910    365.6380
    117     -221.444122     0.125639    6.692204    7.802370    7.171074    365.4668
    118     -221.447968     0.130957    6.687108    7.802438    7.173491    365.2560
    119     -221.451462     0.119615    6.681349    7.804643    7.176481    365.0717
    120     -221.456589     0.149909    6.668189    7.810805    7.183338    364.6729
    121     -221.462082     0.194175    6.657311    7.819851    7.190294    364.5199
