    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000     245.0     -220.6088        0.7600     -219.8488      331.56
     100      0.2000     374.7     -221.0673        1.1624     -219.9049      331.56
     200      0.4000     294.6     -220.8376        0.9141     -219.9236      331.56
     300      0.6000     337.6     -221.1730        1.0472     -220.1257      331.56
     400      0.8000     316.3     -220.7535        0.9811     -219.7724      331.56
     500      1.0000     325.8     -221.0500        1.0108     -220.0392      331.56
     600      1.2000     332.2     -220.9937        1.0306     -219.9631      331.56
     700      1.4000     297.9     -220.8728        0.9242     -219.9486      331.56
     800      1.6000     281.2     -221.0523        0.8723     -220.1800      331.56
     900      1.8000     361.3     -221.1284        1.1208     -220.0076      331.56
    1000      2.0000     300.3     -221.0608        0.9315     -220.1293      331.56
    1100      2.2000     318.1     -220.9769        0.9867     -219.9901      331.56
    1200      2.4000     329.3     -220.9378        1.0216     -219.9162      331.56
    1300      2.6000     334.5     -221.3011        1.0378     -220.2633      331.56
    1400      2.8000     308.0     -221.2618        0.9556     -220.3061      331.56
    1500      3.0000     333.6     -221.3585        1.0348     -220.3237      331.56
    1600      3.2000     244.4     -221.3001        0.7582     -220.5419      331.56
    1700      3.4000     318.2     -221.1895        0.9872     -220.2024      331.56
    1800      3.6000     283.0     -221.4323        0.8778     -220.5544      331.56
    1900      3.8000     268.2     -221.2736        0.8321     -220.4415      331.56
    2000      4.0000     350.8     -221.1260        1.0882     -220.0378      331.56
