    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000     271.1     -221.9480        0.8410     -221.1070      346.88
     100      0.2000     233.0     -222.1378        0.7230     -221.4148      346.88
     200      0.4000     261.3     -222.1318        0.8106     -221.3212      346.88
     300      0.6000     235.8     -221.9255        0.7316     -221.1939      346.88
     400      0.8000     327.6     -222.2846        1.0163     -221.2683      346.88
     500      1.0000     258.5     -222.1972        0.8019     -221.3953      346.88
     600      1.2000     301.5     -222.1457        0.9354     -221.2103      346.88
     700      1.4000     139.9     -221.9551        0.4339     -221.5212      346.88
     800      1.6000     176.8     -222.2811        0.5483     -221.7328      346.88
     900      1.8000     247.9     -222.1483        0.7690     -221.3793      346.88
    1000      2.0000     222.5     -222.1236        0.6903     -221.4332      346.88
    1100      2.2000     369.9     -222.1378        1.1474     -220.9904      346.88
    1200      2.4000     279.8     -221.8006        0.8680     -220.9326      346.88
    1300      2.6000     268.9     -222.1936        0.8342     -221.3594      346.88
    1400      2.8000     302.4     -222.3485        0.9380     -221.4105      346.88
    1500      3.0000     258.5     -222.3136        0.8020     -221.5117      346.88
    1600      3.2000     192.4     -222.4074        0.5970     -221.8105      346.88
    1700      3.4000     324.5     -222.0690        1.0066     -221.0624      346.88
    1800      3.6000     227.6     -222.1370        0.7061     -221.4309      346.88
    1900      3.8000     277.6     -222.2873        0.8613     -221.4260      346.88
    2000      4.0000     364.3     -222.1602        1.1301     -221.0301      346.88
