
  Composition: O16Ti8 (24 atoms)
  Initial cell: a=5.4682  b=8.5914  c=7.4716
  Volume: 346.88 A^3
  Optimizer: LBFGS  fmax=0.1  max_steps=100

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
  -------------------------------------------------------------------------------------
      1     -222.582001     1.254299    5.468382    8.590895    7.472800    346.9174
      2     -222.802490     0.685607    5.468647    8.590184    7.474746    346.9762
      3     -222.894379     0.767614    5.468845    8.590168    7.476638    347.0589
      4     -222.981308     0.525314    5.469072    8.590826    7.479749    347.2145
      5     -223.023346     0.452406    5.469239    8.591816    7.482462    347.3628
      6     -223.063522     0.380507    5.469506    8.593377    7.486219    347.5772
      7     -223.093689     0.305896    5.469909    8.595285    7.490788    347.8439
      8     -223.111725     0.244540    5.470300    8.596668    7.494217    348.0493
      9     -223.126953     0.237342    5.470832    8.598236    7.498394    348.2999
     10     -223.139313     0.247976    5.471386    8.599692    7.502650    348.5520
     11     -223.151550     0.261582    5.472081    8.601527    7.508425    348.8854
     12     -223.160583     0.222856    5.472609    8.603033    7.513600    349.1722
     13     -223.168701     0.223966    5.473037    8.604431    7.519014    349.4557
     14     -223.175110     0.193540    5.473251    8.605428    7.523638    349.6781
     15     -223.181259     0.171129    5.473295    8.606202    7.528203    349.8760
     16     -223.187012     0.134114    5.473204    8.606901    7.533144    350.0731
     17     -223.191986     0.146676    5.473055    8.607866    7.539625    350.3294
     18     -223.196472     0.156428    5.472740    8.608250    7.543637    350.4618
     19     -223.202484     0.159260    5.472114    8.608753    7.549742    350.6484
     20     -223.207153     0.172658    5.471518    8.609174    7.554834    350.7984
     21     -223.212570     0.191177    5.470630    8.609844    7.562491    351.0256
     22     -223.217163     0.162498    5.469677    8.610368    7.569698    351.2256
     23     -223.222656     0.164920    5.468340    8.610989    7.579224    351.4796
     24     -223.227692     0.174530    5.466847    8.611449    7.588653    351.7101
     25     -223.232361     0.165413    5.465499    8.611618    7.595528    351.8513
     26     -223.236115     0.140754    5.464089    8.611560    7.601083    351.9329
     27     -223.239624     0.150143    5.462637    8.611254    7.605094    351.9478
     28     -223.244614     0.152311    5.460022    8.610801    7.612334    351.9761
     29     -223.249329     0.147471    5.457238    8.610751    7.621830    352.0773
     30     -223.255051     0.170624    5.454036    8.610723    7.632632    352.1833
     31     -223.260895     0.157193    5.449972    8.610388    7.644506    352.2363
     32     -223.264252     0.135133    5.448737    8.610136    7.647192    352.2130
     33     -223.267883     0.106528    5.447353    8.609679    7.649511    352.1560
     34     -223.270386     0.104015    5.446152    8.609335    7.652408    352.1375
     35     -223.273743     0.110074    5.444016    8.608775    7.658175    352.1252
     36     -223.276474     0.107635    5.442431    8.608398    7.663231    352.1400
     37     -223.279495     0.109801    5.440825    8.607868    7.668128    352.1394
     38     -223.281677     0.121610    5.440227    8.607596    7.670895    352.1625
     39     -223.284027     0.115378    5.439655    8.607105    7.673603    352.1745
     40     -223.285980     0.082256    5.439549    8.606554    7.675163    352.1839
  -------------------------------------------------------------------------------------

  Converged after 40 steps!  Fmax = 0.082256 eV/A
