    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000     324.6     -219.0150        1.0071     -218.0078      331.56
     100      0.2000     252.6     -220.0861        0.7837     -219.3025      331.56
     200      0.4000     305.6     -220.1899        0.9479     -219.2420      331.56
     300      0.6000     272.5     -220.4615        0.8454     -219.6162      331.56
     400      0.8000     328.1     -220.7121        1.0177     -219.6944      331.56
     500      1.0000     294.4     -220.5405        0.9133     -219.6272      331.56
     600      1.2000     347.1     -220.2605        1.0768     -219.1837      331.56
     700      1.4000     381.2     -220.3396        1.1826     -219.1571      331.56
     800      1.6000     242.5     -220.3626        0.7524     -219.6102      331.56
     900      1.8000     192.0     -220.1572        0.5955     -219.5617      331.56
    1000      2.0000     308.0     -220.4608        0.9556     -219.5053      331.56
    1100      2.2000     331.6     -220.5544        1.0288     -219.5256      331.56
    1200      2.4000     317.4     -220.6963        0.9845     -219.7118      331.56
    1300      2.6000     308.2     -220.5697        0.9561     -219.6136      331.56
    1400      2.8000     281.6     -220.7794        0.8736     -219.9058      331.56
    1500      3.0000     366.6     -220.1666        1.1372     -219.0294      331.56
    1600      3.2000     256.1     -220.5758        0.7943     -219.7815      331.56
    1700      3.4000     348.9     -220.4605        1.0825     -219.3780      331.56
    1800      3.6000     390.3     -220.5477        1.2107     -219.3369      331.56
    1900      3.8000     305.7     -220.1063        0.9485     -219.1578      331.56
    2000      4.0000     322.9     -220.4748        1.0017     -219.4731      331.56
