
  Composition: O16Ti8 (24 atoms)
  Initial cell: a=6.9213  b=6.9213  c=6.9213
  Volume: 331.56 A^3
  Optimizer: LBFGS  fmax=0.1  max_steps=100

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
  -------------------------------------------------------------------------------------
      1     -220.899536     1.181367    6.922756    6.921876    6.921482    331.6667
      2     -221.135010     0.766518    6.925548    6.923245    6.921449    331.8644
      3     -221.217407     0.676189    6.927502    6.924227    6.921230    331.9944
      4     -221.302734     0.533831    6.930684    6.925700    6.920765    332.1945
      5     -221.346542     0.543348    6.932702    6.926487    6.920538    332.3172
      6     -221.396790     0.604294    6.935583    6.927464    6.920389    332.4930
      7     -221.423584     0.336573    6.937637    6.928135    6.920439    332.6242
      8     -221.447144     0.314807    6.940152    6.929019    6.920669    332.7954
      9     -221.463501     0.367468    6.942399    6.929930    6.920931    332.9566
     10     -221.484863     0.389420    6.946816    6.931840    6.921440    333.2785
     11     -221.499207     0.342660    6.950273    6.933420    6.921855    333.5349
     12     -221.514404     0.241700    6.954750    6.935498    6.922409    333.8685
     13     -221.525024     0.244376    6.958212    6.937091    6.922927    334.1294
     14     -221.535599     0.242117    6.961944    6.938777    6.923617    334.4144
     15     -221.545120     0.193391    6.966061    6.940567    6.924539    334.7318
     16     -221.553162     0.226487    6.970183    6.942295    6.925599    335.0517
     17     -221.562347     0.195008    6.974862    6.944191    6.927015    335.4205
     18     -221.572220     0.236883    6.979745    6.946089    6.928688    335.8093
     19     -221.582642     0.231928    6.985106    6.948059    6.930665    336.2357
     20     -221.592102     0.192041    6.989609    6.949579    6.932377    336.5880
     21     -221.601868     0.185665    6.995715    6.951627    6.934450    337.0503
     22     -221.610672     0.197089    7.001809    6.953572    6.936528    337.5024
     23     -221.620697     0.240768    7.008447    6.955567    6.938741    337.9794
     24     -221.630615     0.223586    7.015441    6.957557    6.940957    338.4615
     25     -221.639465     0.211273    7.018237    6.958105    6.941805    338.6297
     26     -221.649673     0.186667    7.021958    6.958675    6.942902    338.8346
     27     -221.655167     0.179832    7.023546    6.958707    6.943251    338.8987
     28     -221.664597     0.192619    7.027306    6.958848    6.943906    339.0468
     29     -221.671539     0.189076    7.030514    6.958842    6.944278    339.1547
     30     -221.679108     0.178224    7.034087    6.958673    6.944379    339.2481
     31     -221.684479     0.158696    7.036042    6.958001    6.943915    339.2310
     32     -221.688583     0.157871    7.035944    6.957073    6.942971    339.1174
     33     -221.693451     0.136203    7.038288    6.956323    6.942321    339.1025
     34     -221.697830     0.125238    7.039714    6.955186    6.941394    339.0211
     35     -221.702118     0.118713    7.041997    6.953948    6.940517    338.9612
     36     -221.705063     0.099274    7.044097    6.953167    6.939955    338.9474
  -------------------------------------------------------------------------------------

  Converged after 36 steps!  Fmax = 0.099274 eV/A
