    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000     193.2     -219.2059        0.5994     -218.6065      331.56
     100      0.2000     445.0     -220.6353        1.3806     -219.2547      331.56
     200      0.4000     373.8     -220.1953        1.1596     -219.0357      331.56
     300      0.6000     321.5     -220.4599        0.9973     -219.4626      331.56
     400      0.8000     309.6     -219.8895        0.9605     -218.9289      331.56
     500      1.0000     353.1     -220.5956        1.0955     -219.5001      331.56
     600      1.2000     278.8     -220.3432        0.8649     -219.4782      331.56
     700      1.4000     396.8     -220.4154        1.2310     -219.1845      331.56
     800      1.6000     432.6     -220.6874        1.3420     -219.3454      331.56
     900      1.8000     295.0     -220.5948        0.9151     -219.6797      331.56
    1000      2.0000     277.6     -220.5261        0.8611     -219.6650      331.56
    1100      2.2000     360.3     -220.6631        1.1176     -219.5455      331.56
    1200      2.4000     310.2     -220.5564        0.9622     -219.5941      331.56
    1300      2.6000     411.6     -220.6148        1.2768     -219.3379      331.56
    1400      2.8000     276.9     -220.6781        0.8590     -219.8191      331.56
    1500      3.0000     367.7     -220.6444        1.1406     -219.5038      331.56
    1600      3.2000     276.1     -220.5627        0.8566     -219.7060      331.56
    1700      3.4000     373.9     -220.8342        1.1600     -219.6742      331.56
    1800      3.6000     336.9     -220.4264        1.0450     -219.3814      331.56
    1900      3.8000     338.6     -220.6348        1.0503     -219.5845      331.56
    2000      4.0000     271.4     -220.5607        0.8419     -219.7187      331.56
