
  Composition: O16Ti8 (24 atoms)
  Initial cell: a=6.9213  b=6.9213  c=6.9213
  Volume: 331.56 A^3
  Optimizer: LBFGS  fmax=0.1  max_steps=100

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
  -------------------------------------------------------------------------------------
      1     -221.948227     1.116716    6.921335    6.922181    6.922185    331.6470
      2     -222.181030     0.739264    6.921455    6.923518    6.924154    331.8110
      3     -222.261703     0.690620    6.921526    6.924398    6.925906    331.9403
      4     -222.394531     0.618772    6.921647    6.926630    6.930900    332.2915
      5     -222.449677     0.479431    6.921663    6.928148    6.934718    332.5471
      6     -222.486694     0.341958    6.921579    6.929698    6.938978    332.8202
      7     -222.514114     0.333778    6.921392    6.931246    6.943366    333.0941
      8     -222.545792     0.330491    6.920998    6.933609    6.950055    333.5060
      9     -222.573532     0.390383    6.920440    6.936154    6.957244    333.9416
     10     -222.604462     0.334093    6.919587    6.939325    6.966276    334.4790
     11     -222.636353     0.468995    6.918309    6.943515    6.978454    335.1906
     12     -222.663712     0.394699    6.917125    6.946192    6.986944    335.6587
     13     -222.695984     0.313867    6.915088    6.949895    6.999652    336.3288
     14     -222.721939     0.373158    6.913002    6.952723    7.010599    336.8693
     15     -222.753616     0.389122    6.909633    6.956615    7.026843    337.6383
     16     -222.777008     0.434576    6.907397    6.958176    7.035246    337.9876
     17     -222.805893     0.311527    6.904230    6.960051    7.046189    338.4205
     18     -222.825378     0.330400    6.901228    6.962589    7.057995    338.9310
     19     -222.849121     0.277232    6.896792    6.966029    7.074464    339.6220
     20     -222.875183     0.366659    6.890340    6.971066    7.098488    340.6227
     21     -222.899506     0.399404    6.882411    6.976934    7.127411    341.7971
     22     -222.920654     0.360672    6.876080    6.980882    7.149012    342.6259
     23     -222.946335     0.347074    6.869379    6.983237    7.168086    343.2477
     24     -222.968124     0.329198    6.861906    6.985670    7.189570    343.9355
     25     -222.992294     0.330538    6.853162    6.987839    7.213890    344.6660
     26     -223.018341     0.301676    6.842534    6.989443    7.241878    345.4291
     27     -223.039551     0.275828    6.835431    6.988775    7.257573    345.7282
     28     -223.061050     0.271692    6.828111    6.987768    7.273511    346.0096
     29     -223.078735     0.236043    6.818731    6.988156    7.297393    346.5840
     30     -223.091522     0.274336    6.810689    6.988446    7.318100    347.0777
     31     -223.103348     0.269610    6.804635    6.987339    7.331546    347.2999
     32     -223.117355     0.247489    6.796390    6.985631    7.349468    347.5749
     33     -223.134018     0.301401    6.780905    6.983045    7.383729    348.1315
     34     -223.149231     0.315732    6.768814    6.980379    7.409408    348.4854
     35     -223.168304     0.294971    6.758847    6.974886    7.425021    348.4085
     36     -223.184174     0.269298    6.742487    6.969594    7.457111    348.6952
     37     -223.195648     0.289252    6.728778    6.965839    7.485003    348.9970
     38     -223.205627     0.242866    6.711510    6.961840    7.521127    349.4358
     39     -223.213531     0.186228    6.713688    6.960788    7.513574    349.2047
     40     -223.222900     0.192639    6.712434    6.958145    7.511546    348.9630
     41     -223.233307     0.223398    6.707396    6.953289    7.514794    348.6607
     42     -223.242645     0.188443    6.700162    6.947703    7.522701    348.4062
     43     -223.254028     0.251254    6.686341    6.937990    7.540098    348.0415
     44     -223.261566     0.250470    6.681176    6.931823    7.542715    347.6514
     45     -223.271622     0.212428    6.671691    6.924188    7.554481    347.3558
     46     -223.282150     0.226804    6.660914    6.915104    7.567800    347.0010
     47     -223.291046     0.238655    6.652707    6.906468    7.575860    346.5799
     48     -223.298996     0.232078    6.645498    6.901142    7.587367    346.4787
     49     -223.305389     0.185810    6.642861    6.898041    7.591085    346.3828
     50     -223.310760     0.188164    6.637652    6.894131    7.600485    346.3559
     51     -223.315094     0.152025    6.632121    6.890030    7.610950    346.3501
     52     -223.318054     0.113296    6.630471    6.887754    7.614515    346.3353
     53     -223.320740     0.104835    6.627433    6.884740    7.621316    346.3560
     54     -223.322937     0.131968    6.628147    6.883503    7.621883    346.3904
     55     -223.326294     0.176071    6.624471    6.880303    7.633699    346.5977
     56     -223.330383     0.152728    6.622976    6.878074    7.643878    346.9032
     57     -223.335358     0.136616    6.619377    6.874462    7.663043    347.4420
     58     -223.339264     0.157767    6.617109    6.871806    7.676559    347.8349
     59     -223.344238     0.180264    6.613457    6.867913    7.695887    348.3642
     60     -223.347931     0.151692    6.610723    6.864995    7.709728    348.7293
     61     -223.352539     0.151752    6.607758    6.861696    7.727850    349.2622
     62     -223.356750     0.171054    6.606730    6.859063    7.742579    349.7851
     63     -223.361023     0.150288    6.605564    6.856622    7.757602    350.3193
     64     -223.364685     0.123746    6.606430    6.854876    7.769465    350.8629
     65     -223.367523     0.100799    6.606745    6.853502    7.780514    351.3454
     66     -223.370087     0.140023    6.606834    6.852049    7.791008    351.7838
     67     -223.372467     0.127575    6.606960    6.851116    7.799428    352.1473
     68     -223.374512     0.105807    6.607590    6.850293    7.809883    352.6391
     69     -223.375977     0.078805    6.607753    6.849470    7.819444    353.0583
  -------------------------------------------------------------------------------------

  Converged after 69 steps!  Fmax = 0.078805 eV/A
