
  Composition: O16Ti8 (24 atoms)
  Initial cell: a=6.9213  b=6.9213  c=6.9213
  Volume: 331.56 A^3  Density: 3.20 g/cm3
  Optimizer: LBFGS  fmax=0.1  max_steps=100
  Cell filter: FrechetCellFilter

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
  -------------------------------------------------------------------------------------
      1     -220.431198     1.561274    6.920194    6.921185    6.921454    331.5096
      2     -220.707764     0.755087    6.916818    6.920764    6.922007    331.3541
      3     -220.809204     0.686185    6.914111    6.920476    6.922763    331.2466
      4     -220.959625     0.654741    6.907923    6.920065    6.924983    331.0360
      5     -221.035675     0.629472    6.903923    6.920174    6.926845    330.9377
      6     -221.119934     0.817329    6.898278    6.920862    6.929996    330.8487
      7     -221.185913     0.660003    6.894369    6.921756    6.932766    330.8343
      8     -221.255676     0.559624    6.888941    6.923124    6.937097    330.8424
      9     -221.290695     0.380396    6.886098    6.923802    6.939907    330.8698
     10     -221.315796     0.270925    6.883099    6.924143    6.943021    330.8878
     11     -221.337402     0.296682    6.879802    6.924153    6.946656    330.8993
     12     -221.364670     0.381288    6.873756    6.923899    6.952925    330.8873
     13     -221.392548     0.410820    6.866634    6.923168    6.960467    330.8572
     14     -221.419189     0.388714    6.858078    6.922022    6.969385    330.7973
     15     -221.445007     0.360748    6.850812    6.920590    6.976847    330.7154
     16     -221.474609     0.310366    6.841657    6.918325    6.986254    330.5855
     17     -221.499069     0.343918    6.833703    6.916095    6.994460    330.4571
     18     -221.525482     0.333043    6.823981    6.913536    7.004682    330.3118
     19     -221.553589     0.301194    6.812676    6.910731    7.016779    330.1534
     20     -221.586044     0.367074    6.796833    6.906932    7.034540    329.9598
     21     -221.621979     0.399893    6.778647    6.902777    7.055655    329.7580
     22     -221.663818     0.498042    6.758431    6.898188    7.080074    329.5472
     23     -221.704681     0.409405    6.739707    6.894205    7.103425    329.3674
     24     -221.739441     0.364270    6.722284    6.890863    7.125791    329.2183
     25     -221.768417     0.397064    6.712921    6.889016    7.138882    329.1674
     26     -221.797348     0.325043    6.703051    6.887183    7.152952    329.1220
     27     -221.824188     0.310519    6.687544    6.884601    7.174629    329.0326
     28     -221.848206     0.386428    6.673830    6.881993    7.194687    328.9546
     29     -221.873108     0.412564    6.657884    6.879067    7.218363    328.8618
     30     -221.895416     0.333887    6.644861    6.876853    7.238386    328.8041
     31     -221.917374     0.259843    6.633565    6.874807    7.257001    328.7813
     32     -221.936981     0.268567    6.624438    6.873235    7.272986    328.7941
     33     -221.953522     0.286211    6.615568    6.871632    7.289194    328.8187
     34     -221.972382     0.283536    6.607124    6.870109    7.305740    328.8782
     35     -221.986221     0.247047    6.597285    6.868224    7.325500    328.9492
     36     -221.996735     0.209612    6.591079    6.867336    7.338273    329.0198
     37     -222.009613     0.211388    6.585052    6.866107    7.354196    329.2036
     38     -222.016052     0.211215    6.581927    6.865759    7.362370    329.3104
     39     -222.025330     0.175407    6.579624    6.865252    7.373395    329.5747
     40     -222.030441     0.190570    6.578787    6.865100    7.379089    329.7414
     41     -222.037476     0.203533    6.578110    6.864868    7.387422    330.0212
     42     -222.043167     0.183591    6.577720    6.864756    7.394217    330.2679
     43     -222.050171     0.184270    6.573210    6.864177    7.412771    330.6896
     44     -222.054703     0.161176    6.569728    6.863847    7.423899    330.8912
     45     -222.060928     0.162137    6.568676    6.863804    7.431040    331.1173
     46     -222.065308     0.176691    6.563160    6.863293    7.450795    331.5182
     47     -222.069092     0.153674    6.564223    6.863516    7.451344    331.6327
     48     -222.075928     0.146018    6.563438    6.863698    7.462694    332.0611
     49     -222.078735     0.154691    6.565259    6.863968    7.463914    332.2561
     50     -222.082626     0.134293    6.566225    6.864212    7.472211    332.6776
     51     -222.085510     0.100486    6.562936    6.864044    7.488736    333.1114
     52     -222.088303     0.133947    6.555307    6.863718    7.520142    333.8287
     53     -222.090546     0.104309    6.554371    6.863760    7.524565    333.9439
     54     -222.095169     0.101558    6.553383    6.864066    7.532587    334.2168
     55     -222.097092     0.102202    6.554204    6.864375    7.535369    334.4086
     56     -222.100754     0.132535    6.555455    6.865229    7.547174    335.0376
     57     -222.103027     0.147842    6.557909    6.865659    7.542271    335.0500
     58     -222.105988     0.124412    6.557732    6.865959    7.547080    335.2680
     59     -222.108826     0.104929    6.557033    6.866058    7.550883    335.4019
     60     -222.111008     0.157371    6.551879    6.866182    7.579591    336.2646
     61     -222.113937     0.104086    6.553580    6.865955    7.565715    335.8060
     62     -222.115967     0.084621    6.553153    6.865747    7.561979    335.6272
  -------------------------------------------------------------------------------------

  Converged after 62 steps!  Fmax = 0.084621 eV/A
