    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000     186.7     -219.3222        0.5792     -218.7431      331.56
     100      0.2000     409.3     -220.2611        1.2698     -218.9913      331.56
     200      0.4000     290.2     -220.4033        0.9003     -219.5029      331.56
     300      0.6000     262.4     -220.2198        0.8141     -219.4057      331.56
     400      0.8000     356.4     -220.3439        1.1057     -219.2381      331.56
     500      1.0000     284.8     -220.1110        0.8837     -219.2273      331.56
     600      1.2000     260.2     -220.1295        0.8073     -219.3222      331.56
     700      1.4000     239.7     -219.9507        0.7435     -219.2072      331.56
     800      1.6000     396.1     -220.4472        1.2289     -219.2183      331.56
     900      1.8000     360.5     -220.2556        1.1184     -219.1373      331.56
    1000      2.0000     250.2     -220.1458        0.7763     -219.3695      331.56
    1100      2.2000     329.0     -220.1071        1.0206     -219.0866      331.56
    1200      2.4000     369.4     -219.9964        1.1459     -218.8505      331.56
    1300      2.6000     303.8     -220.2398        0.9424     -219.2974      331.56
    1400      2.8000     336.4     -219.9681        1.0435     -218.9246      331.56
    1500      3.0000     334.5     -220.4340        1.0376     -219.3963      331.56
    1600      3.2000     326.4     -220.4115        1.0127     -219.3988      331.56
    1700      3.4000     339.5     -220.3679        1.0533     -219.3147      331.56
    1800      3.6000     276.1     -220.3348        0.8565     -219.4783      331.56
    1900      3.8000     296.1     -219.8600        0.9185     -218.9415      331.56
    2000      4.0000     317.9     -220.1407        0.9862     -219.1545      331.56
