
  Composition: O16Ti8 (24 atoms)
  Initial cell: a=6.9213  b=6.9213  c=6.9213
  Volume: 331.56 A^3
  Optimizer: LBFGS  fmax=0.1  max_steps=100

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
  -------------------------------------------------------------------------------------
      1     -221.590439     1.202511    6.921217    6.922164    6.921111    331.5890
      2     -221.766571     0.840553    6.920501    6.923190    6.920443    331.5717
      3     -221.889496     0.722071    6.919273    6.924715    6.919056    331.5189
      4     -221.996841     0.752609    6.917525    6.926713    6.916937    331.4280
      5     -222.095856     0.600044    6.915221    6.929269    6.913953    331.2946
      6     -222.155731     0.445477    6.913304    6.931476    6.911152    331.1711
      7     -222.188324     0.350770    6.912103    6.933093    6.908958    331.0831
      8     -222.214081     0.287478    6.910969    6.934954    6.906419    330.9928
      9     -222.231857     0.267859    6.909832    6.937013    6.903632    330.8989
     10     -222.247559     0.266995    6.908665    6.939216    6.900540    330.7948
     11     -222.264618     0.266560    6.907092    6.942113    6.896210    330.6422
     12     -222.282211     0.263923    6.905008    6.945726    6.890466    330.4275
     13     -222.302399     0.325321    6.902066    6.950445    6.882539    330.1124
     14     -222.325058     0.327020    6.898524    6.955651    6.873257    329.7197
     15     -222.349915     0.279225    6.894187    6.961540    6.862171    329.2249
     16     -222.372284     0.363874    6.890047    6.966873    6.851792    328.7443
     17     -222.397476     0.394066    6.884403    6.974285    6.837511    328.0800
     18     -222.419281     0.298412    6.879648    6.980822    6.825054    327.5037
     19     -222.441833     0.267261    6.875916    6.986619    6.813955    327.0083
     20     -222.460190     0.324198    6.873045    6.992177    6.803572    326.5759
     21     -222.477509     0.270243    6.870512    6.998364    6.792389    326.1407
     22     -222.496353     0.293293    6.867909    7.006408    6.778203    325.6182
     23     -222.512115     0.274289    6.865993    7.014411    6.764746    325.1560
     24     -222.523499     0.219362    6.865456    7.020471    6.755411    324.8905
     25     -222.532608     0.213904    6.866011    7.024747    6.749989    324.8083
     26     -222.542603     0.226230    6.866878    7.030904    6.743010    324.7327
     27     -222.553665     0.260787    6.868573    7.038805    6.734887    324.7047
     28     -222.565842     0.219066    6.870812    7.048882    6.724958    324.6894
     29     -222.576813     0.219497    6.873744    7.058909    6.716130    324.7606
     30     -222.583954     0.191099    6.875241    7.064641    6.711219    324.7986
     31     -222.590424     0.164175    6.876289    7.070097    6.706109    324.7926
     32     -222.595612     0.167873    6.877661    7.075584    6.701080    324.8091
     33     -222.600769     0.148378    6.879313    7.080575    6.696895    324.8673
     34     -222.607315     0.180950    6.882385    7.088309    6.691258    325.0296
     35     -222.612213     0.154497    6.884291    7.093643    6.687642    325.1460
     36     -222.616821     0.124054    6.886591    7.099387    6.684263    325.3130
     37     -222.620499     0.138243    6.889222    7.106315    6.679908    325.4894
     38     -222.623688     0.139925    6.891386    7.112322    6.676370    325.6496
     39     -222.627258     0.133980    6.893958    7.118946    6.673186    325.8781
     40     -222.630569     0.131734    6.895744    7.123387    6.672143    326.1012
     41     -222.634552     0.136695    6.898757    7.129421    6.671732    326.4928
     42     -222.638794     0.149644    6.901442    7.137795    6.669061    326.8316
     43     -222.642853     0.114207    6.903967    7.147577    6.665468    327.1668
     44     -222.646042     0.105381    6.904519    7.152105    6.663834    327.2915
     45     -222.648804     0.103164    6.906141    7.159948    6.660702    327.5210
     46     -222.650726     0.097491    6.907887    7.167067    6.658373    327.7744
  -------------------------------------------------------------------------------------

  Converged after 46 steps!  Fmax = 0.097491 eV/A
