
  Composition: O16Ti8 (24 atoms)
  Initial cell: a=6.9213  b=6.9213  c=6.9213
  Volume: 331.56 A^3  Density: 3.20 g/cm3
  Optimizer: LBFGS  fmax=0.1  max_steps=100
  Cell filter: FrechetCellFilter

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
  -------------------------------------------------------------------------------------
      1     -221.134552     1.161749    6.920123    6.920670    6.919980    331.4109
      2     -221.428253     1.410639    6.915822    6.918970    6.915564    330.9117
      3     -221.497009     0.735146    6.914917    6.919154    6.914767    330.8387
      4     -221.601349     0.619781    6.911204    6.919553    6.911480    330.5207
      5     -221.641754     0.531367    6.909597    6.920191    6.910198    330.4110
      6     -221.702667     0.399435    6.906295    6.921972    6.907479    330.2015
      7     -221.733902     0.299107    6.904366    6.923866    6.905890    330.1168
      8     -221.762665     0.310597    6.902888    6.926527    6.904667    330.1056
      9     -221.792725     0.375572    6.901698    6.930674    6.903681    330.1857
     10     -221.823059     0.367481    6.900752    6.936154    6.902836    330.3421
     11     -221.856995     0.359589    6.899785    6.944071    6.901799    330.5920
     12     -221.887817     0.366817    6.899161    6.952479    6.900881    330.8803
     13     -221.920303     0.400174    6.898823    6.962870    6.899906    331.2573
     14     -221.955002     0.469031    6.899093    6.974351    6.899069    331.7074
     15     -222.006195     0.525791    6.900009    6.992798    6.897921    332.4404
     16     -222.072937     0.627160    6.902440    7.019923    6.896993    333.5618
     17     -222.140320     0.589346    6.905572    7.048893    6.896445    334.7418
     18     -222.211258     0.700652    6.909149    7.075623    6.896444    335.8337
     19     -222.276917     0.560319    6.912739    7.100427    6.896675    336.8230
     20     -222.333847     0.490362    6.916323    7.121680    6.897206    337.6842
     21     -222.394226     0.460497    6.921547    7.148438    6.898335    338.7927
     22     -222.440048     0.498265    6.927734    7.177614    6.900069    340.0021
     23     -222.482178     0.459160    6.934042    7.204946    6.901929    341.1207
     24     -222.523804     0.412870    6.940532    7.226922    6.903857    342.0951
     25     -222.562912     0.457340    6.951063    7.260477    6.907456    343.5964
     26     -222.591370     0.377018    6.955141    7.266311    6.908413    344.0080
     27     -222.623520     0.339767    6.962907    7.281318    6.910728    344.8822
     28     -222.642471     0.315944    6.967469    7.287417    6.911919    345.3427
     29     -222.665009     0.322559    6.975139    7.301464    6.914189    346.1898
     30     -222.681396     0.216877    6.982036    7.312759    6.916103    346.9263
     31     -222.694290     0.275415    6.988534    7.323480    6.917826    347.6173
     32     -222.705719     0.264279    6.995036    7.333942    6.919261    348.2786
     33     -222.714966     0.204483    7.002023    7.345134    6.920790    348.9833
     34     -222.723312     0.204097    7.007969    7.352943    6.921725    349.5336
     35     -222.733032     0.184773    7.018591    7.367765    6.923634    350.5296
     36     -222.739975     0.239129    7.025849    7.375286    6.924548    351.1532
     37     -222.748779     0.232412    7.034983    7.382528    6.925318    351.8881
     38     -222.757050     0.210331    7.043959    7.388621    6.925973    352.5964
     39     -222.767181     0.229618    7.063282    7.407347    6.928308    354.2328
     40     -222.775635     0.203380    7.073922    7.414164    6.928780    355.0470
     41     -222.786194     0.165708    7.083878    7.418050    6.928337    355.7208
     42     -222.792801     0.147437    7.097078    7.432342    6.929588    356.8164
     43     -222.797791     0.137943    7.102850    7.435676    6.929195    357.2040
     44     -222.804413     0.165468    7.115635    7.446757    6.929030    358.1362
     45     -222.809235     0.166689    7.121143    7.448400    6.927663    358.4221
     46     -222.815948     0.160125    7.139101    7.461883    6.926110    359.6211
     47     -222.820251     0.145944    7.145210    7.464765    6.924646    359.9533
     48     -222.826935     0.138882    7.150157    7.464429    6.921486    360.0669
     49     -222.831238     0.148506    7.159126    7.468708    6.918863    360.5215
     50     -222.836655     0.143900    7.165854    7.471010    6.915637    360.7686
     51     -222.843887     0.211397    7.178305    7.477751    6.910495    361.2963
     52     -222.851044     0.219447    7.179588    7.473383    6.905276    360.9922
     53     -222.860718     0.182877    7.192407    7.479301    6.898216    361.4004
     54     -222.869202     0.171284    7.197711    7.479250    6.891797    361.3092
     55     -222.876480     0.176600    7.208029    7.484784    6.886536    361.6719
     56     -222.883575     0.180675    7.221052    7.490573    6.879689    362.1071
     57     -222.888977     0.174084    7.222128    7.488660    6.875887    361.9092
     58     -222.894165     0.143942    7.234701    7.493648    6.868967    362.3017
     59     -222.898361     0.155573    7.233633    7.488807    6.865052    361.9316
     60     -222.903397     0.154357    7.238071    7.488418    6.859809    361.8641
     61     -222.908340     0.154912    7.244027    7.487819    6.853350    361.8133
     62     -222.914032     0.138274    7.255909    7.489207    6.843552    361.9379
     63     -222.918457     0.159861    7.267260    7.491641    6.834646    362.0932
     64     -222.921814     0.133647    7.276576    7.494840    6.828214    362.2931
     65     -222.924835     0.113184    7.281211    7.496526    6.824198    362.3488
     66     -222.927383     0.110445    7.286152    7.498963    6.820032    362.4143
     67     -222.930542     0.110822    7.291017    7.500390    6.814574    362.3816
     68     -222.933701     0.109258    7.297267    7.502468    6.806606    362.2744
     69     -222.936157     0.107490    7.304257    7.505237    6.798585    362.2142
     70     -222.938187     0.096603    7.309904    7.508499    6.793178    362.2517
  -------------------------------------------------------------------------------------

  Converged after 70 steps!  Fmax = 0.096603 eV/A
