
  Composition: O16Ti8 (24 atoms)
  Initial cell: a=6.9213  b=6.9213  c=6.9213
  Volume: 331.56 A^3  Density: 3.20 g/cm3
  Optimizer: LBFGS  fmax=0.1  max_steps=100
  Cell filter: FrechetCellFilter

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
  -------------------------------------------------------------------------------------
      1     -221.122467     1.576075    6.923359    6.922922    6.921611    331.7520
      2     -221.420166     0.781665    6.928597    6.926315    6.922559    332.2110
      3     -221.529541     0.849396    6.933086    6.928937    6.923992    332.6208
      4     -221.688110     0.785195    6.943850    6.935167    6.928091    333.6334
      5     -221.775375     0.662979    6.952777    6.940383    6.932047    334.5037
      6     -221.865173     0.647654    6.965341    6.947871    6.937872    335.7500
      7     -221.933685     0.576979    6.979215    6.956295    6.944282    337.1356
      8     -221.999496     0.547098    6.995978    6.966611    6.951993    338.8187
      9     -222.063293     0.567814    7.015349    6.978578    6.960836    340.7683
     10     -222.124908     0.576452    7.034719    6.990461    6.969665    342.7189
     11     -222.189087     0.658677    7.057477    7.004172    6.979948    345.0012
     12     -222.250427     0.526173    7.083454    7.019440    6.991496    347.5876
     13     -222.311951     0.570385    7.109212    7.034079    7.002703    350.1247
     14     -222.376587     0.622713    7.137165    7.049453    7.014511    352.8449
     15     -222.453583     0.669526    7.176087    7.070420    7.030551    356.6070
     16     -222.534622     0.725115    7.221470    7.094442    7.048727    360.9688
     17     -222.616837     0.708942    7.273990    7.121435    7.069014    365.9672
     18     -222.685059     0.556510    7.304068    7.135740    7.079808    368.7400
     19     -222.767441     0.574785    7.347234    7.155330    7.094729    372.6552
     20     -222.816010     0.454203    7.378608    7.169092    7.105445    375.4795
     21     -222.861511     0.411397    7.405425    7.178814    7.113580    377.7362
     22     -222.899048     0.377024    7.424407    7.183641    7.118297    379.1702
     23     -222.930145     0.381846    7.441379    7.186535    7.121684    380.3323
     24     -222.949524     0.292666    7.450671    7.186405    7.122463    380.8182
     25     -222.966156     0.215525    7.465343    7.188610    7.124866    381.7784
     26     -222.979126     0.289140    7.476648    7.189013    7.125802    382.3981
     27     -222.993759     0.351622    7.492116    7.189691    7.127135    383.2546
     28     -223.008881     0.393650    7.508829    7.188880    7.127623    384.0423
     29     -223.019867     0.301639    7.518642    7.186086    7.126479    384.2991
     30     -223.029465     0.224163    7.524081    7.181155    7.123761    384.1421
     31     -223.037979     0.218916    7.529942    7.175907    7.120927    383.9809
     32     -223.048691     0.300444    7.540314    7.168728    7.117218    383.8800
     33     -223.062164     0.315792    7.552609    7.160044    7.112667    383.7390
     34     -223.079651     0.317884    7.571591    7.147218    7.105907    383.5602
     35     -223.097107     0.337777    7.594081    7.136360    7.100474    383.7179
     36     -223.116058     0.382962    7.620563    7.120806    7.092268    383.6363
     37     -223.131287     0.335346    7.643118    7.110112    7.086888    383.7856
     38     -223.149384     0.280888    7.657444    7.095878    7.078844    383.2051
     39     -223.165878     0.260625    7.680038    7.082180    7.071649    383.0703
     40     -223.178513     0.252731    7.699304    7.064587    7.061876    382.4099
     41     -223.191040     0.287292    7.720631    7.053595    7.056374    382.4437
     42     -223.205429     0.342774    7.743793    7.040808    7.049954    382.4009
     43     -223.218781     0.288641    7.773568    7.028039    7.044083    382.6717
     44     -223.230042     0.273326    7.798310    7.017366    7.039331    382.8930
     45     -223.238663     0.205900    7.815924    7.010863    7.036854    383.1618
     46     -223.244232     0.139853    7.824653    7.009395    7.036991    383.4761
     47     -223.248550     0.160271    7.832003    7.004757    7.035208    383.4396
     48     -223.254120     0.184354    7.846310    6.996621    7.032152    383.4339
     49     -223.260162     0.181882    7.857950    6.984624    7.027314    382.9987
     50     -223.264618     0.129219    7.865182    6.983408    7.028213    383.3097
     51     -223.269501     0.138605    7.870258    6.978581    7.027351    383.2272
     52     -223.272644     0.146629    7.880084    6.977773    7.028752    383.7028
     53     -223.276276     0.158528    7.879703    6.976632    7.029615    383.6988
     54     -223.279312     0.118950    7.889797    6.973934    7.029886    384.0135
     55     -223.282425     0.113466    7.894698    6.971346    7.029900    384.0981
     56     -223.285034     0.104152    7.906107    6.965965    7.028771    384.2341
     57     -223.287186     0.114602    7.911408    6.964237    7.029389    384.4228
     58     -223.289337     0.101908    7.922291    6.958660    7.028298    384.5315
     59     -223.291306     0.098218    7.927431    6.957197    7.028883    384.7257
  -------------------------------------------------------------------------------------

  Converged after 59 steps!  Fmax = 0.098218 eV/A
