
  Composition: O16Ti8 (24 atoms)
  Initial cell: a=6.9213  b=6.9213  c=6.9213
  Volume: 331.56 A^3
  Optimizer: LBFGS  fmax=0.1  max_steps=100

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
  -------------------------------------------------------------------------------------
      1     -221.319031     1.040933    6.921539    6.921234    6.922912    331.6461
      2     -221.498535     0.679381    6.922570    6.920489    6.925490    331.7833
      3     -221.595734     0.740260    6.924262    6.919297    6.928578    331.9550
      4     -221.699524     0.642127    6.927422    6.917032    6.933788    332.2468
      5     -221.771790     0.552435    6.930813    6.914482    6.939226    332.5464
      6     -221.817169     0.348642    6.933845    6.912011    6.944260    332.8129
      7     -221.845917     0.268327    6.935757    6.910197    6.947821    332.9869
      8     -221.871399     0.314889    6.938236    6.907597    6.952944    333.2243
      9     -221.891083     0.303038    6.940488    6.905039    6.958101    333.4541
     10     -221.915955     0.285072    6.944220    6.900684    6.967000    333.8454
     11     -221.934753     0.280735    6.947937    6.896286    6.976045    334.2397
     12     -221.955597     0.277641    6.952464    6.890960    6.987087    334.7215
     13     -221.979218     0.272822    6.958588    6.883812    7.002049    335.3747
     14     -222.000092     0.295544    6.964390    6.877187    7.016117    335.9935
     15     -222.029633     0.354477    6.972751    6.867636    7.036678    336.8947
     16     -222.061829     0.440381    6.983449    6.855375    7.063398    338.0578
     17     -222.097015     0.446402    6.995586    6.841494    7.094023    339.3828
     18     -222.143311     0.493995    7.008406    6.826670    7.127323    340.8064
     19     -222.198334     0.509999    7.025358    6.807041    7.171732    342.6835
     20     -222.249207     0.513063    7.046969    6.782115    7.228458    345.0508
     21     -222.289520     0.479484    7.059360    6.767771    7.261816    346.4259
     22     -222.333496     0.387363    7.073189    6.751504    7.300453    347.9958
     23     -222.362228     0.374439    7.082552    6.740264    7.328049    349.1024
     24     -222.392639     0.371644    7.089766    6.731222    7.351471    350.0265
     25     -222.430756     0.417330    7.099536    6.718872    7.384156    351.3046
     26     -222.466064     0.438322    7.106379    6.709780    7.409161    352.2615
     27     -222.511093     0.383538    7.116170    6.696334    7.446022    353.6388
     28     -222.541962     0.332078    7.120530    6.688693    7.468083    354.4011
     29     -222.564087     0.304328    7.120170    6.686788    7.474043    354.5366
     30     -222.588455     0.327821    7.125417    6.677750    7.496142    355.2560
     31     -222.609772     0.400368    7.124544    6.675393    7.501688    355.3195
     32     -222.636475     0.406736    7.133456    6.660541    7.536793    356.4463
     33     -222.661514     0.384541    7.135591    6.653234    7.553992    356.8755
     34     -222.686691     0.373205    7.148115    6.631620    7.605474    358.4597
     35     -222.700378     0.256882    7.144906    6.633280    7.599887    358.1550
     36     -222.714569     0.178400    7.146456    6.628576    7.608916    358.3447
     37     -222.724915     0.209900    7.148591    6.621604    7.623038    358.6441
     38     -222.737137     0.248345    7.151307    6.612064    7.641568    359.0049
     39     -222.750305     0.229970    7.152812    6.602120    7.659429    359.2454
     40     -222.760803     0.211804    7.153804    6.594690    7.671267    359.3548
     41     -222.770172     0.174712    7.152576    6.589682    7.676000    359.1988
     42     -222.777985     0.181846    7.151988    6.584462    7.681387    359.0906
     43     -222.788452     0.244445    7.149400    6.577990    7.685347    358.7506
     44     -222.799011     0.264568    7.149193    6.564790    7.701716    358.6442
     45     -222.809647     0.186002    7.146704    6.555967    7.709313    358.3152
     46     -222.820709     0.279297    7.145546    6.540832    7.726314    358.0632
     47     -222.830444     0.285426    7.143776    6.532078    7.732736    357.7290
     48     -222.844696     0.297929    7.141054    6.516197    7.746121    357.2078
     49     -222.859619     0.301458    7.136408    6.504615    7.749664    356.4521
     50     -222.874329     0.221365    7.132303    6.490375    7.757522    355.7342
     51     -222.882721     0.169179    7.128312    6.485634    7.755124    355.1678
     52     -222.890579     0.191716    7.127513    6.475595    7.764424    354.9088
     53     -222.898819     0.211169    7.123531    6.470297    7.761685    354.2976
     54     -222.910263     0.254500    7.120857    6.457893    7.767783    353.6838
     55     -222.923157     0.223471    7.118080    6.449561    7.766734    353.0325
     56     -222.932678     0.198837    7.119150    6.440750    7.774264    352.8735
     57     -222.941864     0.170750    7.118317    6.429671    7.780053    352.4109
     58     -222.948257     0.185323    7.119674    6.425301    7.784117    352.3840
     59     -222.956879     0.198419    7.122541    6.417146    7.793084    352.3959
     60     -222.962524     0.186343    7.124065    6.417759    7.789825    352.3943
     61     -222.967621     0.163065    7.127434    6.408372    7.800426    352.4193
     62     -222.971893     0.115248    7.128677    6.413709    7.793365    352.5313
     63     -222.975082     0.111643    7.129594    6.410494    7.794492    352.4300
     64     -222.977737     0.098229    7.130863    6.410204    7.793122    352.4230
  -------------------------------------------------------------------------------------

  Converged after 64 steps!  Fmax = 0.098229 eV/A
