    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000     255.2     -219.5564        0.7918     -218.7646      331.56
     100      0.2000     363.4     -220.6828        1.1274     -219.5554      331.56
     200      0.4000     389.2     -220.7505        1.2072     -219.5433      331.56
     300      0.6000     280.4     -220.8764        0.8699     -220.0065      331.56
     400      0.8000     401.5     -220.6051        1.2455     -219.3595      331.56
     500      1.0000     261.3     -220.9956        0.8105     -220.1851      331.56
     600      1.2000     260.8     -220.3809        0.8090     -219.5720      331.56
     700      1.4000     273.1     -221.0407        0.8473     -220.1935      331.56
     800      1.6000     233.3     -220.8623        0.7238     -220.1384      331.56
     900      1.8000     403.4     -220.7554        1.2513     -219.5040      331.56
    1000      2.0000     390.1     -220.6839        1.2102     -219.4737      331.56
    1100      2.2000     295.4     -220.7154        0.9163     -219.7990      331.56
    1200      2.4000     309.7     -220.9996        0.9608     -220.0388      331.56
    1300      2.6000     221.3     -220.9701        0.6864     -220.2837      331.56
    1400      2.8000     248.2     -221.0700        0.7699     -220.3001      331.56
    1500      3.0000     198.9     -220.8202        0.6170     -220.2032      331.56
    1600      3.2000     231.0     -220.8238        0.7165     -220.1073      331.56
    1700      3.4000     228.7     -220.9872        0.7093     -220.2779      331.56
    1800      3.6000     242.4     -220.7657        0.7519     -220.0138      331.56
    1900      3.8000     352.8     -220.7944        1.0945     -219.6999      331.56
    2000      4.0000     323.7     -220.7362        1.0042     -219.7320      331.56
