
  Composition: O16Ti8 (24 atoms)
  Initial cell: a=6.9213  b=6.9213  c=6.9213
  Volume: 331.56 A^3  Density: 3.20 g/cm3
  Optimizer: LBFGS  fmax=0.1  max_steps=100
  Cell filter: FrechetCellFilter

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
  -------------------------------------------------------------------------------------
      1     -221.311310     0.986312    6.922719    6.922089    6.922083    331.7040
      2     -221.502380     0.581979    6.925608    6.923171    6.923472    331.9608
      3     -221.561981     0.473426    6.928283    6.924004    6.924870    332.1957
      4     -221.626617     0.454069    6.933344    6.925636    6.927618    332.6477
      5     -221.676880     0.443883    6.938407    6.927406    6.930501    333.1126
      6     -221.730164     0.454867    6.946079    6.930397    6.934961    333.8362
      7     -221.763641     0.348286    6.951704    6.932905    6.938283    334.3840
      8     -221.802109     0.402012    6.960090    6.936914    6.943239    335.2134
      9     -221.830536     0.346180    6.967318    6.940573    6.947488    335.9365
     10     -221.856354     0.362753    6.975142    6.944700    6.952098    336.7268
     11     -221.878006     0.391004    6.982014    6.948458    6.956202    337.4290
     12     -221.904205     0.325698    6.990576    6.953150    6.961460    338.3096
     13     -221.932938     0.387479    7.001923    6.959275    6.968615    339.4788
     14     -221.961151     0.423612    7.014459    6.966008    6.976788    340.7783
     15     -221.995270     0.458756    7.030353    6.974545    6.987451    342.4354
     16     -222.037949     0.535029    7.053548    6.986921    7.003354    344.8573
     17     -222.077911     0.562445    7.071768    6.996690    7.016279    346.7746
     18     -222.131256     0.538283    7.096766    7.009976    7.034506    349.4125
     19     -222.165253     0.363532    7.114036    7.018794    7.047250    351.2194
     20     -222.193848     0.379103    7.128211    7.025481    7.058003    352.6860
     21     -222.218323     0.371609    7.144027    7.032784    7.070028    354.3108
     22     -222.250183     0.418190    7.170010    7.044534    7.089864    356.9622
     23     -222.279541     0.340747    7.190156    7.052616    7.105651    358.9784
     24     -222.311676     0.324425    7.214552    7.061714    7.124919    361.3852
     25     -222.340454     0.338241    7.233841    7.067288    7.140627    363.2218
     26     -222.358398     0.251093    7.239086    7.066492    7.145144    363.6191
     27     -222.372528     0.211169    7.241524    7.064211    7.147240    363.7100
     28     -222.383636     0.197643    7.247190    7.063408    7.151606    364.1171
     29     -222.395447     0.185540    7.253126    7.061173    7.156258    364.4761
