    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000     360.1     -220.3439        1.1172     -219.2267      331.56
     100      0.2000     306.9     -220.5870        0.9522     -219.6348      331.56
     200      0.4000     247.5     -221.0585        0.7680     -220.2905      331.56
     300      0.6000     202.3     -220.9911        0.6275     -220.3635      331.56
     400      0.8000     259.6     -220.8428        0.8052     -220.0376      331.56
     500      1.0000     319.7     -220.8685        0.9919     -219.8766      331.56
     600      1.2000     358.5     -220.7872        1.1121     -219.6751      331.56
     700      1.4000     228.5     -220.7325        0.7087     -220.0238      331.56
     800      1.6000     372.9     -220.8624        1.1569     -219.7055      331.56
     900      1.8000     307.3     -220.7818        0.9534     -219.8285      331.56
    1000      2.0000     346.6     -220.8083        1.0752     -219.7331      331.56
    1100      2.2000     246.8     -220.8787        0.7657     -220.1130      331.56
    1200      2.4000     211.8     -220.6752        0.6572     -220.0180      331.56
    1300      2.6000     296.3     -221.1180        0.9191     -220.1989      331.56
    1400      2.8000     277.3     -220.8625        0.8601     -220.0024      331.56
    1500      3.0000     327.4     -220.9038        1.0156     -219.8882      331.56
    1600      3.2000     369.2     -220.8492        1.1454     -219.7038      331.56
    1700      3.4000     399.4     -220.5348        1.2390     -219.2958      331.56
    1800      3.6000     315.1     -220.6126        0.9775     -219.6352      331.56
    1900      3.8000     369.2     -220.8078        1.1453     -219.6625      331.56
    2000      4.0000     362.0     -220.9379        1.1229     -219.8151      331.56
