    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000     289.3     -219.7332        0.8975     -218.8356      331.56
     100      0.2000     308.7     -220.3138        0.9576     -219.3561      331.56
     200      0.4000     306.1     -220.2796        0.9497     -219.3299      331.56
     300      0.6000     306.0     -220.5327        0.9494     -219.5834      331.56
     400      0.8000     254.0     -220.4268        0.7879     -219.6389      331.56
     500      1.0000     271.8     -220.3318        0.8432     -219.4885      331.56
     600      1.2000     334.8     -220.8189        1.0386     -219.7802      331.56
     700      1.4000     270.2     -220.5066        0.8381     -219.6685      331.56
     800      1.6000     271.5     -220.5873        0.8422     -219.7451      331.56
     900      1.8000     331.2     -220.2828        1.0274     -219.2554      331.56
    1000      2.0000     319.9     -220.6018        0.9924     -219.6094      331.56
    1100      2.2000     286.4     -220.3625        0.8885     -219.4741      331.56
    1200      2.4000     436.0     -220.4106        1.3524     -219.0582      331.56
    1300      2.6000     260.2     -220.4660        0.8073     -219.6588      331.56
    1400      2.8000     354.8     -220.3417        1.1007     -219.2410      331.56
    1500      3.0000     304.2     -220.2394        0.9438     -219.2956      331.56
    1600      3.2000     257.3     -220.4163        0.7982     -219.6181      331.56
    1700      3.4000     301.8     -220.5919        0.9362     -219.6557      331.56
    1800      3.6000     250.6     -220.8780        0.7774     -220.1005      331.56
    1900      3.8000     256.8     -220.2984        0.7967     -219.5017      331.56
    2000      4.0000     218.6     -220.4255        0.6780     -219.7475      331.56
