
  Composition: O16Ti8 (24 atoms)
  Initial cell: a=6.9213  b=6.9213  c=6.9213
  Volume: 331.56 A^3
  Optimizer: LBFGS  fmax=0.1  max_steps=100

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
  -------------------------------------------------------------------------------------
      1     -221.651337     1.018743    6.924960    6.922797    6.923297    331.9035
      2     -221.837585     0.653658    6.930817    6.924711    6.927023    332.4548
      3     -221.921356     0.536085    6.937134    6.926609    6.931546    333.0663
      4     -221.981659     0.449435    6.944668    6.928817    6.937365    333.8140
      5     -222.030350     0.453972    6.953373    6.931336    6.944395    334.6922
      6     -222.076843     0.432572    6.964004    6.934349    6.953201    335.7739
      7     -222.132385     0.529658    6.978691    6.938423    6.965621    337.2792
      8     -222.186813     0.531368    6.995725    6.943027    6.980181    339.0309
      9     -222.230713     0.491266    7.012000    6.947335    6.994279    340.7135
     10     -222.263214     0.385365    7.022965    6.950200    7.004120    341.8643
     11     -222.291199     0.430288    7.030953    6.952339    7.011647    342.7240
     12     -222.316452     0.553005    7.039955    6.954888    7.020213    343.7050
     13     -222.344543     0.493084    7.053873    6.958949    7.033430    345.2291
     14     -222.368988     0.304850    7.067616    6.963069    7.046611    346.7492
     15     -222.393585     0.283484    7.080115    6.966814    7.058954    348.1517
     16     -222.414459     0.319617    7.092158    6.970208    7.071037    349.5042
     17     -222.429321     0.240508    7.098716    6.971727    7.077944    350.2409
     18     -222.445724     0.296151    7.107175    6.973260    7.087127    351.1839
     19     -222.459259     0.292441    7.114711    6.974299    7.095542    352.0196
     20     -222.477905     0.316347    7.127023    6.975634    7.109421    353.3740
     21     -222.490997     0.277746    7.135766    6.976248    7.119370    354.3240
     22     -222.502945     0.220978    7.144199    6.976464    7.129171    355.2310
     23     -222.511475     0.220342    7.150449    6.976291    7.136592    355.8935
     24     -222.522705     0.283271    7.158291    6.975154    7.146569    356.7086
     25     -222.531677     0.255802    7.163686    6.973287    7.154117    357.2452
     26     -222.540436     0.219951    7.170248    6.970614    7.163275    357.8749
     27     -222.547668     0.226611    7.173427    6.968396    7.167846    358.1374
     28     -222.560181     0.268258    7.180704    6.962918    7.178348    358.7178
     29     -222.568542     0.310444    7.189423    6.958017    7.189947    359.4523
     30     -222.578003     0.203689    7.198880    6.953031    7.202010    360.2404
     31     -222.586441     0.248437    7.213383    6.942392    7.221693    361.3411
     32     -222.594086     0.223393    7.211306    6.942799    7.218473    361.1067
     33     -222.609421     0.216286    7.213389    6.938368    7.220006    361.0512
     34     -222.621704     0.191619    7.223208    6.929980    7.231819    361.6597
     35     -222.628693     0.300411    7.262628    6.903190    7.280028    364.4794
     36     -222.640503     0.200982    7.251263    6.911016    7.266026    363.6708
     37     -222.646637     0.111887    7.245354    6.913288    7.258780    363.1535
     38     -222.653168     0.114311    7.251777    6.906845    7.266574    363.4963
     39     -222.659698     0.124692    7.261786    6.900017    7.277518    364.1480
     40     -222.661469     0.208854    7.291277    6.877704    7.310047    365.9482
     41     -222.670013     0.122756    7.274589    6.890019    7.290081    364.8454
     42     -222.673218     0.104860    7.275529    6.887463    7.290155    364.7587
     43     -222.679367     0.086853    7.277616    6.879624    7.289110    364.3928
  -------------------------------------------------------------------------------------

  Converged after 43 steps!  Fmax = 0.086853 eV/A
