
  Composition: O16Ti8 (24 atoms)
  Initial cell: a=6.9213  b=6.9213  c=6.9213
  Volume: 331.56 A^3
  Optimizer: LBFGS  fmax=0.1  max_steps=100

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
  -------------------------------------------------------------------------------------
      1     -220.965057     1.398299    6.923292    6.923260    6.922012    331.7841
      2     -221.230362     0.731800    6.927210    6.927454    6.923555    332.2470
      3     -221.336884     0.688944    6.931102    6.931798    6.925265    332.7242
      4     -221.431061     0.644343    6.936899    6.938334    6.927860    333.4410
      5     -221.493484     0.460125    6.943113    6.945324    6.930576    334.2064
      6     -221.545441     0.420281    6.950087    6.953170    6.933476    335.0595
      7     -221.597015     0.432432    6.958658    6.962886    6.936784    336.1004
      8     -221.647797     0.418548    6.968989    6.974809    6.940400    337.3492
      9     -221.688309     0.483414    6.979298    6.987168    6.943658    338.6026
     10     -221.724915     0.346970    6.988870    6.999349    6.946237    339.7803
     11     -221.756378     0.387050    6.997168    7.010703    6.948071    340.8211
     12     -221.789825     0.329708    7.006892    7.024838    6.949799    342.0614
     13     -221.824127     0.339453    7.017669    7.040972    6.951472    343.4484
     14     -221.869080     0.449245    7.033481    7.064881    6.953661    345.4844
     15     -221.918015     0.493430    7.054004    7.095714    6.956478    348.1214
     16     -221.978027     0.635170    7.077192    7.131370    6.959035    351.1148
     17     -222.043549     0.621601    7.103633    7.172887    6.961402    354.5491
     18     -222.090042     0.398808    7.123003    7.204538    6.962372    357.0899
     19     -222.122253     0.394614    7.134236    7.224324    6.962159    358.5941
     20     -222.150848     0.375500    7.141516    7.239406    6.960868    359.6191
     21     -222.175018     0.381305    7.147123    7.252412    6.959282    360.4458
     22     -222.200897     0.370124    7.157402    7.275044    6.957031    361.9369
     23     -222.223419     0.405496    7.163422    7.290783    6.954347    362.8597
     24     -222.252441     0.427489    7.174241    7.316939    6.950463    364.4630
     25     -222.274567     0.339697    7.182023    7.338618    6.946015    365.6669
     26     -222.291382     0.233589    7.187141    7.355369    6.941792    366.5097
     27     -222.306564     0.243563    7.188347    7.367063    6.936811    366.8713
     28     -222.319016     0.237189    7.189368    7.377520    6.932682    367.2079
     29     -222.334961     0.264195    7.191989    7.396036    6.926430    367.8984
     30     -222.350693     0.315471    7.193635    7.413216    6.920394    368.4842
     31     -222.368774     0.269858    7.194543    7.431826    6.913489    369.0512
     32     -222.384155     0.235896    7.197773    7.455642    6.906124    369.9545
     33     -222.395081     0.238223    7.198255    7.472820    6.899254    370.4246
     34     -222.405807     0.205205    7.197292    7.488635    6.891982    370.7309
     35     -222.416443     0.225091    7.193438    7.502005    6.883746    370.7187
     36     -222.430618     0.234264    7.189186    7.522204    6.872943    370.8619
     37     -222.445679     0.271394    7.180644    7.548795    6.856785    370.7863
     38     -222.458359     0.233051    7.176316    7.572285    6.845173    371.0208
     39     -222.473465     0.279221    7.171211    7.606426    6.829747    371.4886
     40     -222.484192     0.298298    7.166844    7.628364    6.819710    371.7175
     41     -222.500473     0.240029    7.159218    7.673758    6.799919    372.2994
     42     -222.513214     0.255601    7.148440    7.699857    6.785713    372.1339
     43     -222.527664     0.209441    7.136418    7.731263    6.770442    372.0699
     44     -222.538879     0.260815    7.122074    7.748656    6.759150    371.4733
     45     -222.550262     0.210490    7.111537    7.746630    6.757180    370.7278
     46     -222.563141     0.250736    7.100827    7.756240    6.751972    370.3130
     47     -222.574219     0.219572    7.086242    7.774243    6.742439    369.8245
     48     -222.582214     0.205079    7.076735    7.786642    6.736803    369.5647
     49     -222.589294     0.195308    7.071918    7.777239    6.741217    369.1491
     50     -222.596375     0.198283    7.065483    7.802419    6.733256    369.4780
     51     -222.602600     0.170531    7.054421    7.814216    6.728745    369.1678
     52     -222.608276     0.146717    7.037985    7.825756    6.724759    368.5939
     53     -222.612640     0.150968    7.034417    7.817988    6.729753    368.3502
     54     -222.620636     0.176854    7.028579    7.800256    6.740711    367.8884
     55     -222.625763     0.165497    7.022149    7.804979    6.744018    367.9455
     56     -222.631165     0.104474    7.013831    7.809089    6.747644    367.8962
     57     -222.634155     0.105870    7.007446    7.820556    6.747828    368.0743
     58     -222.636322     0.104905    7.007458    7.823370    6.750289    368.3342
     59     -222.638977     0.132767    7.001177    7.833977    6.750412    368.4761
     60     -222.641464     0.136430    6.999880    7.836130    6.752870    368.6394
     61     -222.645569     0.148514    6.992056    7.839318    6.758937    368.7089
     62     -222.647736     0.118130    6.987893    7.838473    6.763513    368.7094
     63     -222.650528     0.095355    6.975615    7.843383    6.769494    368.6125
  -------------------------------------------------------------------------------------

  Converged after 63 steps!  Fmax = 0.095355 eV/A
