    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000     371.7     -220.2430        1.1529     -219.0900      331.56
     100      0.2000     248.8     -220.6735        0.7720     -219.9015      331.56
     200      0.4000     220.6     -220.6812        0.6843     -219.9969      331.56
     300      0.6000     430.1     -220.7428        1.3341     -219.4087      331.56
     400      0.8000     274.0     -220.6257        0.8501     -219.7755      331.56
     500      1.0000     276.6     -220.8472        0.8582     -219.9890      331.56
     600      1.2000     232.5     -220.7669        0.7214     -220.0455      331.56
     700      1.4000     385.7     -220.4569        1.1965     -219.2604      331.56
     800      1.6000     309.1     -220.6117        0.9589     -219.6528      331.56
     900      1.8000     323.6     -220.6305        1.0038     -219.6268      331.56
    1000      2.0000     320.2     -220.5351        0.9932     -219.5419      331.56
    1100      2.2000     216.6     -220.4330        0.6721     -219.7610      331.56
    1200      2.4000     242.8     -220.3173        0.7531     -219.5642      331.56
    1300      2.6000     309.7     -220.8394        0.9607     -219.8787      331.56
    1400      2.8000     248.6     -220.6992        0.7712     -219.9279      331.56
    1500      3.0000     315.5     -220.7407        0.9789     -219.7618      331.56
    1600      3.2000     358.2     -220.9865        1.1113     -219.8751      331.56
    1700      3.4000     309.6     -220.7433        0.9604     -219.7829      331.56
    1800      3.6000     332.2     -220.4847        1.0305     -219.4542      331.56
    1900      3.8000     311.5     -220.5359        0.9663     -219.5695      331.56
    2000      4.0000     350.9     -220.5533        1.0886     -219.4646      331.56
