    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000     388.8     -220.5865        1.2061     -219.3805      331.56
     100      0.2000     268.8     -220.7824        0.8339     -219.9485      331.56
     200      0.4000     235.9     -221.2201        0.7317     -220.4884      331.56
     300      0.6000     293.3     -220.7968        0.9100     -219.8867      331.56
     400      0.8000     323.8     -221.0297        1.0045     -220.0252      331.56
     500      1.0000     380.3     -221.1610        1.1797     -219.9812      331.56
     600      1.2000     265.2     -221.0014        0.8226     -220.1788      331.56
     700      1.4000     316.7     -221.0829        0.9824     -220.1005      331.56
     800      1.6000     369.0     -221.1487        1.1449     -220.0038      331.56
     900      1.8000     323.0     -221.2680        1.0019     -220.2661      331.56
    1000      2.0000     254.2     -220.4610        0.7887     -219.6724      331.56
    1100      2.2000     304.1     -220.9510        0.9434     -220.0076      331.56
    1200      2.4000     333.4     -221.1982        1.0343     -220.1639      331.56
    1300      2.6000     324.4     -220.9555        1.0063     -219.9492      331.56
    1400      2.8000     323.5     -221.0184        1.0035     -220.0149      331.56
    1500      3.0000     354.3     -221.0049        1.0990     -219.9059      331.56
    1600      3.2000     323.7     -221.1043        1.0043     -220.1000      331.56
    1700      3.4000     319.5     -221.0783        0.9912     -220.0871      331.56
    1800      3.6000     288.2     -220.9286        0.8939     -220.0347      331.56
    1900      3.8000     304.6     -220.8641        0.9451     -219.9190      331.56
    2000      4.0000     287.4     -221.0476        0.8914     -220.1561      331.56
