
  Composition: O16Ti8 (24 atoms)
  Initial cell: a=6.9213  b=6.9213  c=6.9213
  Volume: 331.56 A^3  Density: 3.20 g/cm3
  Optimizer: LBFGS  fmax=0.1  max_steps=100
  Cell filter: FrechetCellFilter

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
  -------------------------------------------------------------------------------------
      1     -221.252289     0.881963    6.921133    6.920726    6.920916    331.5068
      2     -221.453751     0.648648    6.920923    6.919316    6.920375    331.4032
      3     -221.517029     0.598389    6.921090    6.918683    6.920462    331.3850
      4     -221.634567     0.659848    6.922024    6.917554    6.921285    331.4147
      5     -221.698563     0.603381    6.923159    6.917508    6.922397    331.5197
      6     -221.763092     0.554494    6.925143    6.918312    6.924224    331.7401
      7     -221.806229     0.445999    6.927364    6.919805    6.926058    332.0052
      8     -221.843491     0.339811    6.929845    6.921917    6.927846    332.3103
      9     -221.866638     0.245336    6.932061    6.923957    6.929208    332.5789
     10     -221.884232     0.256827    6.934065    6.925798    6.930310    332.8155
     11     -221.903915     0.336019    6.937554    6.928820    6.932258    333.2197
     12     -221.917648     0.293638    6.939954    6.931001    6.933497    333.4976
     13     -221.933716     0.223191    6.943245    6.934101    6.935121    333.8801
     14     -221.944458     0.228306    6.946203    6.937090    6.936465    334.2276
     15     -221.954269     0.211053    6.948972    6.940103    6.937554    334.5549
     16     -221.963608     0.212431    6.951905    6.943435    6.938522    334.8993
     17     -221.970795     0.229284    6.954542    6.946453    6.939284    335.2045
     18     -221.978577     0.204921    6.957859    6.950190    6.940199    335.5834
     19     -221.987549     0.219513    6.962188    6.954955    6.941391    336.0722
     20     -221.997299     0.166777    6.968342    6.961503    6.943194    336.7609
     21     -222.004532     0.189512    6.974623    6.968091    6.945098    337.4614
     22     -222.010391     0.181643    6.978779    6.972464    6.946214    337.9179
     23     -222.016846     0.162306    6.982489    6.976236    6.947201    338.3177
     24     -222.022797     0.172278    6.986550    6.980314    6.948279    338.7517
     25     -222.028412     0.146515    6.990576    6.984370    6.949323    339.1800
     26     -222.034332     0.146729    6.995494    6.989360    6.950577    339.7018
     27     -222.039062     0.151393    7.000099    6.994106    6.951745    340.1915
     28     -222.043762     0.157340    7.002507    6.996602    6.952405    340.4475
     29     -222.050201     0.149902    7.009160    7.003600    6.954497    341.1756
     30     -222.055481     0.154558    7.014784    7.009597    6.956410    341.7988
     31     -222.061920     0.156516    7.023445    7.018927    6.959560    342.7671
     32     -222.067017     0.156069    7.028425    7.024342    6.961807    343.3430
     33     -222.073563     0.179496    7.030975    7.027421    6.963869    343.6894
     34     -222.079163     0.186383    7.036206    7.033364    6.967367    344.3554
     35     -222.084732     0.176483    7.038942    7.036618    6.970091    344.7503
     36     -222.091370     0.148733    7.045144    7.043732    6.975255    345.5885
     37     -222.095078     0.144662    7.047985    7.047234    6.978078    346.0021
     38     -222.099121     0.152992    7.055253    7.055845    6.984544    347.0036
     39     -222.101929     0.120378    7.056299    7.057020    6.985907    347.1682
     40     -222.108765     0.149952    7.060264    7.061749    6.992145    347.8486
     41     -222.112061     0.170395    7.063154    7.065221    6.996689    348.3388
     42     -222.118591     0.154026    7.071434    7.074942    7.009188    349.7006
     43     -222.123169     0.136815    7.074545    7.078859    7.016026    350.3112
     44     -222.129608     0.157049    7.081040    7.086415    7.028036    351.4594
     45     -222.133972     0.140599    7.079853    7.085617    7.031365    351.5170
     46     -222.139709     0.129261    7.081734    7.088539    7.039650    352.0999
     47     -222.143768     0.126715    7.079466    7.086779    7.042358    352.0532
     48     -222.148254     0.128246    7.082608    7.091162    7.052100    352.8312
     49     -222.151978     0.135304    7.080879    7.090405    7.057227    352.9572
     50     -222.156067     0.137998    7.084653    7.096080    7.072014    354.0330
     51     -222.159607     0.140678    7.082071    7.094079    7.075157    353.9734
     52     -222.164490     0.129197    7.079769    7.093117    7.084917    354.2619
     53     -222.167206     0.113526    7.078178    7.092112    7.089818    354.3678
     54     -222.171112     0.105439    7.075212    7.090035    7.097805    354.5077
     55     -222.173767     0.110533    7.073234    7.088936    7.104859    354.6909
     56     -222.177017     0.115830    7.070680    7.087480    7.113197    354.8904
     57     -222.180771     0.138690    7.068058    7.086307    7.124780    355.2409
     58     -222.184753     0.143026    7.065147    7.085019    7.137584    355.6213
     59     -222.189301     0.124408    7.061754    7.083461    7.152258    356.0478
     60     -222.193176     0.120276    7.058408    7.081578    7.164825    356.3662
     61     -222.197708     0.160585    7.054591    7.079250    7.178974    356.7132
     62     -222.202194     0.216596    7.051321    7.077598    7.194973    357.1932
     63     -222.208252     0.201426    7.045366    7.073570    7.214189    357.5859
     64     -222.213654     0.138832    7.039224    7.069389    7.235008    358.0332
     65     -222.218506     0.123518    7.032592    7.065377    7.264015    358.8121
     66     -222.222168     0.111871    7.027373    7.061153    7.276473    358.9257
     67     -222.225708     0.119831    7.022988    7.058361    7.298121    359.5230
     68     -222.228485     0.109433    7.020884    7.055574    7.295540    359.1976
     69     -222.232422     0.093754    7.019369    7.053661    7.302346    359.3368
  -------------------------------------------------------------------------------------

  Converged after 69 steps!  Fmax = 0.093754 eV/A
