    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000     320.5     -219.8389        0.9943     -218.8446      331.56
     100      0.2000     341.8     -220.8056        1.0605     -219.7452      331.56
     200      0.4000     302.6     -221.2162        0.9389     -220.2774      331.56
     300      0.6000     244.4     -221.2007        0.7583     -220.4424      331.56
     400      0.8000     270.5     -221.1590        0.8391     -220.3199      331.56
     500      1.0000     365.8     -221.0787        1.1348     -219.9439      331.56
     600      1.2000     265.1     -221.0920        0.8224     -220.2695      331.56
     700      1.4000     247.9     -221.0292        0.7691     -220.2601      331.56
     800      1.6000     321.5     -220.9028        0.9974     -219.9054      331.56
     900      1.8000     366.9     -220.8948        1.1382     -219.7566      331.56
    1000      2.0000     234.8     -220.7919        0.7285     -220.0634      331.56
    1100      2.2000     209.2     -221.0663        0.6490     -220.4174      331.56
    1200      2.4000     298.7     -220.9257        0.9266     -219.9991      331.56
    1300      2.6000     326.4     -220.9235        1.0125     -219.9110      331.56
    1400      2.8000     270.1     -220.7674        0.8379     -219.9294      331.56
    1500      3.0000     289.1     -220.8934        0.8968     -219.9966      331.56
    1600      3.2000     350.7     -220.9975        1.0880     -219.9095      331.56
    1700      3.4000     325.6     -220.7883        1.0101     -219.7782      331.56
    1800      3.6000     303.6     -221.1243        0.9418     -220.1825      331.56
    1900      3.8000     402.9     -220.9593        1.2499     -219.7094      331.56
    2000      4.0000     401.1     -221.0439        1.2442     -219.7997      331.56
