    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000     345.0     -219.5133        1.0701     -218.4432      331.56
     100      0.2000     338.9     -219.7523        1.0514     -218.7009      331.56
     200      0.4000     372.0     -220.3727        1.1541     -219.2187      331.56
     300      0.6000     395.6     -220.5793        1.2272     -219.3521      331.56
     400      0.8000     352.8     -220.3723        1.0944     -219.2779      331.56
     500      1.0000     341.4     -220.0876        1.0591     -219.0285      331.56
     600      1.2000     322.7     -220.4021        1.0010     -219.4011      331.56
     700      1.4000     345.3     -220.7627        1.0713     -219.6914      331.56
     800      1.6000     344.9     -220.2815        1.0699     -219.2116      331.56
     900      1.8000     341.3     -220.4228        1.0588     -219.3639      331.56
    1000      2.0000     319.7     -220.5734        0.9919     -219.5814      331.56
    1100      2.2000     354.2     -220.2795        1.0989     -219.1806      331.56
    1200      2.4000     328.0     -220.5278        1.0176     -219.5102      331.56
    1300      2.6000     364.9     -220.6571        1.1322     -219.5249      331.56
    1400      2.8000     256.0     -220.4350        0.7942     -219.6408      331.56
    1500      3.0000     271.7     -220.6208        0.8428     -219.7781      331.56
    1600      3.2000     275.9     -220.4037        0.8558     -219.5479      331.56
    1700      3.4000     225.0     -220.4685        0.6979     -219.7706      331.56
    1800      3.6000     284.7     -220.6990        0.8831     -219.8159      331.56
    1900      3.8000     389.2     -220.5174        1.2075     -219.3099      331.56
    2000      4.0000     356.2     -220.3564        1.1049     -219.2515      331.56
